# energy(eV) alpha
0.000000000000000000e+00 0.000000000000000000e+00
3.749999999999999861e-02 4.180572901720839285e-01
7.499999999999999722e-02 1.672161718838383493e+00
1.125000000000000028e-01 3.762174204403015310e+00
1.501000000000000112e-01 6.692228842750689743e+00
1.875999999999999890e-01 1.045416054938733375e+01
2.250999999999999945e-01 1.484164484199305356e+01
2.626000000000000001e-01 2.023763477917882980e+01
3.000999999999999779e-01 2.674530954895166346e+01
3.376000000000000112e-01 3.384197573794313740e+01
3.750999999999999890e-01 4.176994127642919352e+01
4.126000000000000223e-01 5.052871298794037358e+01
4.501999999999999891e-01 6.012946791709260452e+01
4.877000000000000224e-01 7.099821285953152028e+01
5.252000000000000002e-01 8.276288659657568303e+01
5.626999999999999780e-01 9.542196249690266541e+01
6.001999999999999558e-01 1.084161913419010830e+02
6.377000000000000446e-01 1.222326135274612540e+02
6.752000000000000224e-01 1.381182553537303477e+02
7.127000000000000002e-01 1.536400298589500153e+02
7.502999999999999670e-01 1.720810141677986564e+02
7.877999999999999448e-01 1.893334977223516944e+02
8.253000000000000336e-01 2.081593695677532310e+02
8.628000000000000114e-01 2.286579151801402645e+02
9.002999999999999892e-01 2.500991868588747025e+02
9.377999999999999670e-01 2.724763358452819944e+02
9.752999999999999448e-01 2.948907965242651130e+02
1.012799999999999923e+00 3.200335343335768243e+02
1.050400000000000000e+00 3.462051512993015194e+02
1.087900000000000089e+00 3.733354116183314204e+02
1.125399999999999956e+00 4.004168822657406395e+02
1.162900000000000045e+00 4.294849179139993680e+02
1.200399999999999912e+00 4.606322866704912258e+02
1.237900000000000000e+00 4.916813471974429035e+02
1.275400000000000089e+00 5.248691772340471289e+02
1.312899999999999956e+00 5.602885165966622480e+02
1.350500000000000034e+00 5.943650844664645092e+02
1.387999999999999901e+00 6.331626274859090699e+02
1.425499999999999989e+00 6.717995440640090692e+02
1.463000000000000078e+00 7.128396337814583603e+02
1.500499999999999945e+00 7.550104360444253189e+02
1.538000000000000034e+00 7.983012450273920422e+02
1.575499999999999901e+00 8.427085284431507262e+02
1.612999999999999989e+00 8.896822702698038938e+02
1.650600000000000067e+00 9.378743434473741445e+02
1.688099999999999934e+00 9.902252539785727095e+02
1.725600000000000023e+00 1.042286603464818882e+03
1.763099999999999890e+00 1.097131604851829024e+03
1.800599999999999978e+00 1.153224053814273475e+03
1.838100000000000067e+00 1.212217317968589668e+03
1.875599999999999934e+00 1.272488184250907807e+03
1.913100000000000023e+00 1.337485126348911535e+03
1.950700000000000101e+00 1.403938671221010509e+03
1.988199999999999967e+00 1.471693322814647672e+03
2.025700000000000056e+00 1.542620003042741018e+03
2.063200000000000145e+00 1.614951511729108915e+03
2.100699999999999790e+00 1.692402047008617956e+03
2.138199999999999878e+00 1.773262622724038010e+03
2.175699999999999967e+00 1.855637688406731286e+03
2.213200000000000056e+00 1.941492140639217041e+03
2.250799999999999912e+00 2.030969092436701203e+03
2.288300000000000001e+00 2.126004650683461477e+03
2.325800000000000090e+00 2.224767365910920034e+03
2.363300000000000178e+00 2.323140284536922536e+03
2.400799999999999823e+00 2.431593659040077910e+03
2.438299999999999912e+00 2.539710498385150458e+03
2.475800000000000001e+00 2.653902794027257187e+03
2.513300000000000090e+00 2.774288074098071320e+03
2.550899999999999945e+00 2.901129275596635125e+03
2.588400000000000034e+00 3.029811709872692518e+03
2.625900000000000123e+00 3.169516126207493471e+03
2.663400000000000212e+00 3.311302439433578456e+03
2.700899999999999856e+00 3.462112581893581591e+03
2.738399999999999945e+00 3.619777925448074711e+03
2.775900000000000034e+00 3.782018991649442341e+03
2.813400000000000123e+00 3.956080657925969717e+03
2.850999999999999979e+00 4.137460470904794420e+03
2.888500000000000068e+00 4.330882112543914445e+03
2.926000000000000156e+00 4.529206172851808333e+03
2.963499999999999801e+00 4.742522800039910180e+03
3.000999999999999890e+00 4.966000209047414501e+03
3.038499999999999979e+00 5.204837155308313413e+03
3.076000000000000068e+00 5.456726981932863964e+03
3.113599999999999923e+00 5.724575432567387907e+03
3.151100000000000012e+00 6.005544732391433172e+03
3.188600000000000101e+00 6.310552417689530557e+03
3.226100000000000190e+00 6.634577547597991725e+03
3.263599999999999834e+00 6.977768667178478609e+03
3.301099999999999923e+00 7.351174740584177016e+03
3.338600000000000012e+00 7.749558179329013001e+03
3.376100000000000101e+00 8.181409315471532864e+03
3.413699999999999957e+00 8.652719765170757455e+03
3.451200000000000045e+00 9.160525154236887829e+03
3.488700000000000134e+00 9.724834357051386178e+03
3.526199999999999779e+00 1.034882064109250314e+04
3.563699999999999868e+00 1.104411588692896294e+04
3.601199999999999957e+00 1.182521076257918503e+04
3.638700000000000045e+00 1.272092462421196251e+04
3.676200000000000134e+00 1.376318752047239832e+04
3.713799999999999990e+00 1.500476613446030206e+04
3.751300000000000079e+00 1.652078011857877937e+04
3.788800000000000168e+00 1.840644299942130965e+04
3.826299999999999812e+00 2.071720221496028535e+04
3.863799999999999901e+00 2.344986186652852848e+04
3.901299999999999990e+00 2.667096610452017194e+04
3.938800000000000079e+00 3.062327481306502887e+04
3.976300000000000168e+00 3.524605514946547919e+04
4.013899999999999579e+00 4.023914041394616652e+04
4.051400000000000112e+00 4.557013148551833729e+04
4.088899999999999757e+00 5.123352773927157250e+04
4.126400000000000290e+00 5.700442352805132396e+04
4.163899999999999935e+00 6.262627907011524076e+04
4.201399999999999579e+00 6.787322757119192102e+04
4.238900000000000112e+00 7.283858286930120084e+04
4.276399999999999757e+00 7.824636408403073438e+04
4.314000000000000057e+00 8.516720105056795001e+04
4.351499999999999702e+00 9.422171262909969664e+04
4.389000000000000234e+00 1.055565685169877543e+05
4.426499999999999879e+00 1.193201519150607055e+05
4.464000000000000412e+00 1.350105102903750958e+05
4.501500000000000057e+00 1.515526991085546033e+05
4.538999999999999702e+00 1.689117729549649812e+05
4.576500000000000234e+00 1.883413349787742773e+05
4.614099999999999646e+00 2.115008240264450142e+05
4.651600000000000179e+00 2.387516499799398880e+05
4.689099999999999824e+00 2.678035531183091807e+05
4.726600000000000357e+00 2.961226360176959424e+05
4.764100000000000001e+00 3.235633806250672787e+05
