# energy(eV) alpha
0.000000000000000000e+00 0.000000000000000000e+00
3.610000000000000014e-02 7.142794187498389125e-01
7.209999999999999742e-02 2.790990418752781643e+00
1.082000000000000045e-01 6.328622527227763861e+00
1.443000000000000116e-01 1.129344160190276902e+01
1.802999999999999881e-01 1.782956917143150477e+01
2.164000000000000090e-01 2.567433568530736920e+01
2.525000000000000022e-01 3.494209039878775513e+01
2.886000000000000232e-01 4.563095779274365782e+01
3.245999999999999996e-01 5.827835091446007709e+01
3.607000000000000206e-01 7.186190277652141845e+01
3.967999999999999861e-01 8.753964351668835775e+01
4.328000000000000180e-01 1.039833936658486948e+02
4.688999999999999835e-01 1.230626201992731978e+02
5.050000000000000044e-01 1.432944368099157657e+02
5.410000000000000364e-01 1.650167350136571827e+02
5.770999999999999464e-01 1.882821643124098046e+02
6.131999999999999673e-01 2.141072614129900558e+02
6.492999999999999883e-01 2.415580213411154205e+02
6.853000000000000203e-01 2.700037937127200394e+02
7.214000000000000412e-01 3.018865222319763575e+02
7.574999999999999512e-01 3.348491388686394998e+02
7.934999999999999831e-01 3.707744298300461878e+02
8.296000000000000041e-01 4.078051093443366426e+02
8.657000000000000250e-01 4.472744881708064781e+02
9.016999999999999460e-01 4.892053412081498891e+02
9.377999999999999670e-01 5.337782277536604170e+02
9.738999999999999879e-01 5.810234348989395130e+02
1.010000000000000009e+00 6.310154672018692281e+02
1.046000000000000041e+00 6.846472517529002744e+02
1.082100000000000062e+00 7.394693237752843515e+02
1.118200000000000083e+00 7.990813736172653989e+02
1.154199999999999893e+00 8.607438158511205302e+02
1.190299999999999914e+00 9.265797702351976568e+02
1.226399999999999935e+00 9.956440959704499392e+02
1.262399999999999967e+00 1.068969916669782606e+03
1.298499999999999988e+00 1.146876495548044431e+03
1.334600000000000009e+00 1.229424917695964950e+03
1.370600000000000041e+00 1.316652190492352929e+03
1.406700000000000061e+00 1.407722828812488842e+03
1.442800000000000082e+00 1.504978860947360999e+03
1.478900000000000103e+00 1.608641750430745788e+03
1.514899999999999913e+00 1.717538765730127352e+03
1.550999999999999934e+00 1.834591442599354195e+03
1.587099999999999955e+00 1.959935687062512898e+03
1.623099999999999987e+00 2.091052297167931101e+03
1.659200000000000008e+00 2.233761508281188526e+03
1.695300000000000029e+00 2.385520209892408275e+03
1.731300000000000061e+00 2.545016527103926819e+03
1.767400000000000082e+00 2.718461326359952636e+03
1.803500000000000103e+00 2.904657951100291484e+03
1.839599999999999902e+00 3.105449602828680327e+03
1.875599999999999934e+00 3.324079971717111675e+03
1.911699999999999955e+00 3.559842230092322097e+03
1.947799999999999976e+00 3.817698950345198682e+03
1.983800000000000008e+00 4.098000559466898267e+03
2.019899999999999807e+00 4.408116736297572061e+03
2.056000000000000050e+00 4.746998814459189816e+03
2.092000000000000082e+00 5.126552522417416185e+03
2.128099999999999881e+00 5.549935979246623901e+03
2.164200000000000124e+00 6.027974932154725138e+03
2.200200000000000156e+00 6.575268140735903216e+03
2.236299999999999955e+00 7.204268464714922629e+03
2.272400000000000198e+00 7.940623098278023463e+03
2.308499999999999996e+00 8.823594504655999117e+03
2.344500000000000028e+00 9.901927601459610742e+03
2.380599999999999827e+00 1.125037236482379922e+04
2.416700000000000070e+00 1.297227332727663634e+04
2.452700000000000102e+00 1.513088226738942103e+04
2.488799999999999901e+00 1.767102578525024364e+04
2.524900000000000144e+00 2.063302061534771565e+04
2.560900000000000176e+00 2.450105202383998767e+04
2.596999999999999975e+00 2.978065859925279437e+04
2.633100000000000218e+00 3.645414018266421772e+04
2.669200000000000017e+00 4.397183219067966274e+04
2.705200000000000049e+00 5.156104286605923699e+04
2.741299999999999848e+00 5.891594869024743093e+04
2.777400000000000091e+00 6.635901779364467075e+04
2.813400000000000123e+00 7.378232445820677094e+04
2.849499999999999922e+00 8.126568641215056414e+04
2.885600000000000165e+00 8.876294511805493676e+04
2.921600000000000197e+00 9.547814590738773404e+04
2.957699999999999996e+00 9.964491849184359307e+04
2.993799999999999795e+00 1.013411552250138193e+05
3.029900000000000038e+00 1.020813134020900179e+05
3.065900000000000070e+00 1.020258919816446287e+05
