# energy(eV) alpha
0.000000000000000000e+00 0.000000000000000000e+00
3.160000000000000309e-02 5.436180497431769565e-01
6.320000000000000617e-02 2.174368819148532417e+00
9.479999999999999538e-02 5.055079770077687940e+00
1.264000000000000123e-01 9.022187854753029868e+00
1.580000000000000016e-01 1.399344755447861743e+01
1.895999999999999908e-01 2.021263368720425291e+01
2.212000000000000077e-01 2.737977502140438801e+01
2.528000000000000247e-01 3.606429511658704712e+01
2.843999999999999861e-01 4.569393647661269142e+01
3.160000000000000031e-01 5.618583448681887660e+01
3.476000000000000201e-01 6.865145511239478537e+01
3.791999999999999815e-01 8.170376115358450875e+01
4.108999999999999875e-01 9.625951201572812010e+01
4.425000000000000044e-01 1.119736412778838002e+02
4.741000000000000214e-01 1.292696467423936042e+02
5.057000000000000384e-01 1.473592628692413200e+02
5.372999999999999998e-01 1.670798650432048760e+02
5.688999999999999613e-01 1.880192957692100606e+02
6.005000000000000338e-01 2.101759949695872933e+02
6.320999999999999952e-01 2.346255559412778382e+02
6.636999999999999567e-01 2.592555876078945971e+02
6.953000000000000291e-01 2.862761572931228216e+02
7.268999999999999906e-01 3.146021925684488565e+02
7.584999999999999520e-01 3.448727440064234884e+02
7.901000000000000245e-01 3.758157496931406740e+02
8.216999999999999860e-01 4.101437874174741864e+02
8.532999999999999474e-01 4.444598895407887085e+02
8.849000000000000199e-01 4.816058708364794256e+02
9.164999999999999813e-01 5.201742472233328272e+02
9.481000000000000538e-01 5.625715080376070318e+02
9.797000000000000153e-01 6.048644227163874802e+02
1.011300000000000088e+00 6.494709873091096597e+02
1.042899999999999938e+00 6.964410943889449754e+02
1.074500000000000011e+00 7.467642526395752611e+02
1.106100000000000083e+00 7.996410075705304052e+02
1.137699999999999934e+00 8.532164716153416748e+02
1.169300000000000006e+00 9.103608023497040449e+02
1.201000000000000068e+00 9.712869978482843862e+02
1.232599999999999918e+00 1.034937624238428953e+03
1.264199999999999990e+00 1.101454964664514819e+03
1.295800000000000063e+00 1.171980002416056550e+03
1.327399999999999913e+00 1.245518891404284886e+03
1.358999999999999986e+00 1.323277257277211220e+03
1.390600000000000058e+00 1.403051737935420078e+03
1.422199999999999909e+00 1.489554314034234039e+03
1.453799999999999981e+00 1.580641646289271876e+03
1.485400000000000054e+00 1.675180717405680298e+03
1.516999999999999904e+00 1.775729693277786737e+03
1.548599999999999977e+00 1.882488341037789723e+03
1.580200000000000049e+00 1.994295463166615491e+03
1.611799999999999899e+00 2.115248460742292082e+03
1.643399999999999972e+00 2.241602955127925270e+03
1.675000000000000044e+00 2.377543728828667099e+03
1.706599999999999895e+00 2.519210664925179117e+03
1.738199999999999967e+00 2.672292239907787916e+03
1.769800000000000040e+00 2.835720716296287719e+03
1.801399999999999890e+00 3.011198040202982611e+03
1.832999999999999963e+00 3.200522890890292274e+03
1.864600000000000035e+00 3.404033025621593879e+03
1.896200000000000108e+00 3.625133074146269337e+03
1.927799999999999958e+00 3.864219346724090428e+03
1.959400000000000031e+00 4.124859546816825059e+03
1.991000000000000103e+00 4.409120439965525293e+03
2.022699999999999942e+00 4.724196632209288509e+03
2.054300000000000015e+00 5.073530038265949770e+03
2.085900000000000087e+00 5.463088516449707640e+03
2.117500000000000160e+00 5.898575841425172257e+03
2.149099999999999788e+00 6.392745606368832341e+03
2.180699999999999861e+00 6.963621623446323611e+03
2.212299999999999933e+00 7.621182519521727954e+03
2.243900000000000006e+00 8.396294454814478740e+03
2.275500000000000078e+00 9.322260459388500749e+03
2.307100000000000151e+00 1.045232095212710919e+04
2.338699999999999779e+00 1.186018821482245585e+04
2.370299999999999851e+00 1.366033801177661917e+04
2.401899999999999924e+00 1.602356919930432923e+04
2.433499999999999996e+00 1.920706379907240989e+04
2.465100000000000069e+00 2.355658911819486093e+04
2.496700000000000141e+00 2.940045400121070270e+04
2.528300000000000214e+00 3.661940721593460330e+04
2.559899999999999842e+00 4.401623179759374034e+04
2.591499999999999915e+00 4.978688615563307394e+04
2.623099999999999987e+00 5.336731511150622828e+04
2.654700000000000060e+00 5.587120932316902326e+04
2.686300000000000132e+00 5.872003347034328181e+04
2.717900000000000205e+00 6.263237205321439978e+04
2.749499999999999833e+00 6.737087415665322624e+04
2.781099999999999905e+00 7.167702585232883575e+04
2.812800000000000189e+00 7.394494425558314833e+04
2.844399999999999817e+00 7.336645986429763434e+04
2.875999999999999890e+00 7.066057926208856225e+04
2.907599999999999962e+00 6.766927022296815994e+04
2.939200000000000035e+00 6.593522803851462959e+04
2.970800000000000107e+00 6.609838698134651349e+04
3.002400000000000180e+00 6.810987043494306272e+04
3.033999999999999808e+00 7.173841540209943196e+04
3.065599999999999881e+00 7.680472437095691566e+04
3.097199999999999953e+00 8.310176796640068642e+04
3.128800000000000026e+00 9.047632960716733942e+04
3.160400000000000098e+00 9.868817457101155014e+04
3.192000000000000171e+00 1.071290776374399575e+05
3.223599999999999799e+00 1.149682676137075468e+05
3.255199999999999871e+00 1.216353508351626660e+05
3.286799999999999944e+00 1.275020518167457049e+05
3.318400000000000016e+00 1.338284193088412867e+05
3.350000000000000089e+00 1.416144293494318554e+05
3.381600000000000161e+00 1.508629415545388765e+05
