# energy(eV) alpha
0.000000000000000000e+00 0.000000000000000000e+00
2.910000000000000087e-02 8.147203231229592779e-01
5.809999999999999887e-02 3.160153703154103599e+00
8.719999999999999973e-02 7.183503102850807842e+00
1.161999999999999977e-01 1.263773314090650501e+01
1.453000000000000125e-01 1.998243594903538423e+01
1.743999999999999995e-01 2.885904675903543648e+01
2.033999999999999975e-01 3.933925077978780394e+01
2.325000000000000122e-01 5.145677690874774868e+01
2.615000000000000102e-01 6.537549447283919335e+01
2.906000000000000250e-01 8.074582212966853945e+01
3.196999999999999842e-01 9.823746466262329591e+01
3.487000000000000099e-01 1.171171190424245907e+02
3.778000000000000247e-01 1.382783940869172454e+02
4.067999999999999949e-01 1.611366930805817788e+02
4.359000000000000097e-01 1.857623536124616521e+02
4.650000000000000244e-01 2.128524974990137366e+02
4.939999999999999947e-01 2.413108301631191921e+02
5.231000000000000094e-01 2.719892928839105366e+02
5.521000000000000352e-01 3.052837819395190309e+02
5.812000000000000499e-01 3.405067909420866954e+02
6.102999999999999536e-01 3.775984422191676231e+02
6.392999999999999794e-01 4.185124641039869857e+02
6.683999999999999941e-01 4.604553549177932723e+02
6.974000000000000199e-01 5.059114622779414958e+02
7.265000000000000346e-01 5.540551285814718767e+02
7.556000000000000494e-01 6.048769698368812442e+02
7.845999999999999641e-01 6.583441983723749900e+02
8.136999999999999789e-01 7.159545784949451672e+02
8.427000000000000046e-01 7.763850830457898837e+02
8.718000000000000194e-01 8.405542636108324359e+02
9.009000000000000341e-01 9.084842566159035187e+02
9.298999999999999488e-01 9.801735661686789172e+02
9.589999999999999636e-01 1.056693893311362672e+03
9.879999999999999893e-01 1.137217119356399280e+03
1.017099999999999893e+00 1.222062101346205509e+03
1.046200000000000019e+00 1.312865478976490976e+03
1.075199999999999934e+00 1.409698719360341329e+03
1.104300000000000059e+00 1.511322487908816356e+03
1.133299999999999974e+00 1.620191612782190305e+03
1.162400000000000100e+00 1.735942100335621944e+03
1.191500000000000004e+00 1.859565956275681174e+03
1.220499999999999918e+00 1.990200097530200765e+03
1.249600000000000044e+00 2.131234578852255254e+03
1.278599999999999959e+00 2.282669736643847500e+03
1.307700000000000085e+00 2.443204939740647660e+03
1.336799999999999988e+00 2.615927180226720338e+03
1.365799999999999903e+00 2.803088563253710618e+03
1.394900000000000029e+00 3.005548958283713091e+03
1.423899999999999944e+00 3.224390512059643243e+03
1.453000000000000069e+00 3.461629909734648663e+03
1.482099999999999973e+00 3.721998096865658681e+03
1.511100000000000110e+00 4.005900370332208240e+03
1.540200000000000014e+00 4.319112183135062878e+03
1.569299999999999917e+00 4.665595882373092536e+03
1.598300000000000054e+00 5.050671955350160715e+03
1.627399999999999958e+00 5.483092649060957228e+03
1.656400000000000095e+00 5.971918412022534540e+03
1.685499999999999998e+00 6.528986741055043240e+03
1.714599999999999902e+00 7.172976632824482294e+03
1.743600000000000039e+00 7.924213267879573323e+03
1.772699999999999942e+00 8.816463879803679447e+03
1.801700000000000079e+00 9.891501701114710158e+03
1.830799999999999983e+00 1.121917232803787192e+04
1.859900000000000109e+00 1.288691071586923499e+04
1.888900000000000023e+00 1.501714158781124752e+04
1.917999999999999927e+00 1.775798793394190579e+04
1.947000000000000064e+00 2.122777735117707562e+04
1.976099999999999968e+00 2.537603309265899225e+04
2.005199999999999871e+00 2.982023845588542099e+04
2.034199999999999786e+00 3.398648670171204139e+04
2.063299999999999912e+00 3.767548416510225798e+04
2.092299999999999827e+00 4.134683712732082495e+04
2.121399999999999952e+00 4.597294939412130771e+04
2.150500000000000078e+00 5.243210645189214119e+04
2.179499999999999993e+00 6.073786058662159485e+04
2.208600000000000119e+00 6.964452235568655306e+04
2.237600000000000033e+00 7.718678272305903374e+04
2.266700000000000159e+00 8.190875493977119913e+04
2.295799999999999841e+00 8.381463875287787232e+04
2.324800000000000200e+00 8.441573963741712214e+04
2.353899999999999881e+00 8.571194012484335690e+04
2.382899999999999796e+00 8.881763238634160371e+04
2.411999999999999922e+00 9.352523239120957442e+04
2.441100000000000048e+00 9.901734594349670806e+04
2.470099999999999962e+00 1.049227509074078116e+05
2.499200000000000088e+00 1.112183897403418086e+05
2.528200000000000003e+00 1.176882238811688585e+05
2.557300000000000129e+00 1.241101081327382853e+05
2.586399999999999810e+00 1.305997004014960112e+05
2.615400000000000169e+00 1.374429914811573690e+05
2.644499999999999851e+00 1.447069949511738378e+05
2.673500000000000210e+00 1.521609509374331683e+05
2.702599999999999891e+00 1.594281603521287907e+05
2.731700000000000017e+00 1.664050735234372842e+05
2.760699999999999932e+00 1.733444642791778606e+05
2.789800000000000058e+00 1.802509645604267134e+05
2.818799999999999972e+00 1.868675237624831789e+05
2.847900000000000098e+00 1.931270623045405373e+05
2.876999999999999780e+00 1.990718339466543985e+05
2.906000000000000139e+00 2.047054054026991362e+05
2.935099999999999820e+00 2.098283876456245489e+05
2.964100000000000179e+00 2.139863313972227916e+05
2.993199999999999861e+00 2.172432559829604579e+05
3.022299999999999986e+00 2.203293907094874303e+05
3.051299999999999901e+00 2.239425053588102746e+05
3.080400000000000027e+00 2.280847588190821989e+05
3.109399999999999942e+00 2.318025985290257377e+05
3.138500000000000068e+00 2.340226920750745630e+05
3.167600000000000193e+00 2.344680665543625655e+05
3.196600000000000108e+00 2.337363674115661997e+05
3.225699999999999790e+00 2.325839272454802704e+05
3.254700000000000149e+00 2.314452576541189046e+05
3.283799999999999830e+00 2.305513239468497341e+05
3.312899999999999956e+00 2.300845098635357281e+05
3.341899999999999871e+00 2.301375325834338146e+05
3.370999999999999996e+00 2.306586048640029621e+05
3.399999999999999911e+00 2.314471997710450087e+05
3.429100000000000037e+00 2.324085406438366917e+05
3.458200000000000163e+00 2.336004610253575665e+05
3.487200000000000077e+00 2.352412068240527296e+05
3.516300000000000203e+00 2.375933388346293650e+05
3.545300000000000118e+00 2.406020094100989518e+05
3.574399999999999800e+00 2.438073973691022838e+05
3.603499999999999925e+00 2.467177378045079531e+05
3.632499999999999840e+00 2.492572036916339130e+05
3.661599999999999966e+00 2.516446489412107912e+05
3.690599999999999881e+00 2.541561180857447034e+05
3.719700000000000006e+00 2.570806745139201521e+05
3.748800000000000132e+00 2.604119181743431545e+05
3.777800000000000047e+00 2.637205704816863872e+05
3.806900000000000173e+00 2.664849584843613557e+05
3.835900000000000087e+00 2.684553294340649154e+05
3.865000000000000213e+00 2.697731287836261326e+05
3.894099999999999895e+00 2.706458235382417915e+05
3.923099999999999810e+00 2.712193225717024761e+05
3.952199999999999935e+00 2.718303884109616047e+05
3.981199999999999850e+00 2.729359504686451983e+05
4.010299999999999976e+00 2.747478452750040451e+05
4.039399999999999658e+00 2.771048880608121399e+05
4.068399999999999572e+00 2.797588480048273923e+05
4.097500000000000142e+00 2.826175359380632290e+05
4.126500000000000057e+00 2.856897483025904512e+05
4.155599999999999739e+00 2.891328837573474157e+05
4.184700000000000308e+00 2.931538418948046165e+05
4.213700000000000223e+00 2.979978182791850413e+05
4.242799999999999905e+00 3.038321490767025971e+05
4.271799999999999820e+00 3.105039662401960813e+05
4.300900000000000389e+00 3.177039052990037017e+05
4.330000000000000071e+00 3.252938960430927109e+05
4.358999999999999986e+00 3.334234568492430262e+05
4.388099999999999667e+00 3.422757662900612340e+05
4.417099999999999582e+00 3.516688928771910141e+05
4.446200000000000152e+00 3.612495000861363951e+05
4.475299999999999834e+00 3.705721283699303167e+05
4.504299999999999748e+00 3.791662647176249302e+05
4.533400000000000318e+00 3.867559732323089847e+05
4.562400000000000233e+00 3.932426926018786617e+05
4.591499999999999915e+00 3.987416961332047358e+05
4.620599999999999596e+00 4.034662875087624416e+05
4.649600000000000399e+00 4.075349772697598091e+05
4.678700000000000081e+00 4.110438649304199498e+05
4.707799999999999763e+00 4.144634436921523302e+05
4.736799999999999677e+00 4.185050901334130904e+05
4.765900000000000247e+00 4.234791273583557922e+05
4.794900000000000162e+00 4.290364881490675616e+05
4.823999999999999844e+00 4.346688178996117203e+05
4.853100000000000414e+00 4.401252309121392900e+05
4.882100000000000328e+00 4.455898968786735786e+05
4.911200000000000010e+00 4.513164022250708658e+05
4.940199999999999925e+00 4.572453337715121452e+05
4.969299999999999606e+00 4.631884556775057572e+05
4.998400000000000176e+00 4.688959685942375800e+05
5.027400000000000091e+00 4.740212605991419987e+05
5.056499999999999773e+00 4.783193390405920218e+05
5.085499999999999687e+00 4.818903728017031681e+05
5.114600000000000257e+00 4.852271750030432013e+05
5.143699999999999939e+00 4.888390998962420272e+05
5.172699999999999854e+00 4.930449576778287301e+05
5.201800000000000423e+00 4.980827561710930895e+05
5.230800000000000338e+00 5.041667653264057590e+05
5.259900000000000020e+00 5.114135990018027369e+05
5.288999999999999702e+00 5.196207389239622280e+05
5.317999999999999616e+00 5.285659471415304579e+05
5.347100000000000186e+00 5.382923738147132099e+05
5.376100000000000101e+00 5.490993216999745928e+05
5.405199999999999783e+00 5.612368148107118905e+05
5.434300000000000352e+00 5.745362094324741047e+05
5.463300000000000267e+00 5.885074240764771821e+05
5.492399999999999949e+00 6.026718436870084843e+05
5.521399999999999864e+00 6.161546406028346391e+05
5.550500000000000433e+00 6.273291347652545664e+05
5.579600000000000115e+00 6.345525091419521486e+05
5.608600000000000030e+00 6.373132037851290079e+05
5.637699999999999712e+00 6.359678576883806381e+05
5.666699999999999626e+00 6.311045081860210048e+05
5.695800000000000196e+00 6.236594080820238451e+05
5.724899999999999878e+00 6.148516129866541596e+05
5.753899999999999793e+00 6.055242097617492545e+05
5.783000000000000362e+00 5.958604389166976325e+05
5.812000000000000277e+00 5.858637906621074071e+05
5.841099999999999959e+00 5.759503078538682312e+05
5.870199999999999640e+00 5.667388081981944852e+05
5.899200000000000443e+00 5.589233209808164975e+05
5.928300000000000125e+00 5.530668444560361095e+05
5.957300000000000040e+00 5.492835322177102789e+05
5.986399999999999721e+00 5.472763668309786590e+05
6.015500000000000291e+00 5.466013363661974436e+05
6.044500000000000206e+00 5.469333966227045748e+05
6.073599999999999888e+00 5.481635392658198252e+05
6.102599999999999802e+00 5.502793322386780055e+05
6.131700000000000372e+00 5.532314772573328810e+05
6.160800000000000054e+00 5.566731510171028785e+05
6.189799999999999969e+00 5.602158618419469567e+05
6.218899999999999650e+00 5.636901884105346398e+05
6.247899999999999565e+00 5.671294992283921456e+05
6.277000000000000135e+00 5.706783392249847529e+05
6.306099999999999817e+00 5.742349466142946621e+05
6.335099999999999731e+00 5.777745615260568447e+05
6.364200000000000301e+00 5.816303603514053393e+05
6.393200000000000216e+00 5.861309165106201544e+05
6.422299999999999898e+00 5.913640106041033287e+05
