# energy(eV) alpha
0.000000000000000000e+00 0.000000000000000000e+00
3.370000000000000079e-02 2.864288723864332753e-01
6.750000000000000444e-02 1.211129114215056868e+00
1.011999999999999983e-01 2.771348995953670347e+00
1.348999999999999921e-01 4.840423633770407186e+00
1.685999999999999999e-01 7.800273138422379127e+00
2.023999999999999966e-01 1.108291382360895483e+01
2.361000000000000043e-01 1.493271458293894760e+01
2.697999999999999843e-01 1.986314489270378658e+01
3.035999999999999810e-01 2.492695377297367187e+01
3.372999999999999887e-01 3.055383511958348919e+01
3.709999999999999964e-01 3.710061824379826589e+01
4.047000000000000042e-01 4.466187047040670421e+01
4.385000000000000009e-01 5.251684635069608476e+01
4.722000000000000086e-01 6.054645362619307036e+01
5.059000000000000163e-01 7.009707051923139431e+01
5.396999999999999575e-01 7.984633782012727465e+01
5.734000000000000208e-01 9.020969679279036768e+01
6.070999999999999730e-01 1.012003499922528249e+02
6.408000000000000362e-01 1.128166398323714077e+02
6.745999999999999774e-01 1.257119913063929459e+02
7.083000000000000407e-01 1.386087838133563253e+02
7.419999999999999929e-01 1.528257619764175956e+02
7.756999999999999451e-01 1.669973550926833070e+02
8.094999999999999973e-01 1.833315234339916344e+02
8.431999999999999496e-01 1.988034595048444260e+02
8.769000000000000128e-01 2.157141094443697398e+02
9.106999999999999540e-01 2.333264534918952791e+02
9.444000000000000172e-01 2.515869702672835331e+02
9.780999999999999694e-01 2.705220553397143703e+02
1.011800000000000033e+00 2.910737925155007702e+02
1.045600000000000085e+00 3.123850909883458371e+02
1.079299999999999926e+00 3.343965480945745981e+02
1.112999999999999989e+00 3.560898809297580669e+02
1.146800000000000042e+00 3.795506098640267965e+02
1.180500000000000105e+00 4.048019860132837948e+02
1.214199999999999946e+00 4.296980031638990454e+02
1.247900000000000009e+00 4.553056755122686354e+02
1.281700000000000061e+00 4.828569056404311937e+02
1.315399999999999903e+00 5.123663245081411333e+02
1.349099999999999966e+00 5.414406565482991027e+02
1.382900000000000018e+00 5.713179463216863496e+02
1.416600000000000081e+00 6.019163388059083672e+02
1.450299999999999923e+00 6.359612606426642287e+02
1.483999999999999986e+00 6.681162083190245085e+02
1.517800000000000038e+00 7.038830251428992142e+02
1.551500000000000101e+00 7.404607512207107902e+02
1.585199999999999942e+00 7.778929349011490331e+02
1.618999999999999995e+00 8.147274091058601471e+02
1.652700000000000058e+00 8.553526036891935291e+02
1.686399999999999899e+00 8.953150643002607012e+02
1.720099999999999962e+00 9.408758230907562847e+02
1.753900000000000015e+00 9.842613179245801120e+02
1.787600000000000078e+00 1.030114069623926071e+03
1.821299999999999919e+00 1.078570107142226107e+03
1.854999999999999982e+00 1.126307707550490704e+03
1.888800000000000034e+00 1.176749825551276444e+03
1.922500000000000098e+00 1.229858524797942209e+03
1.956199999999999939e+00 1.282191896432477051e+03
1.989999999999999991e+00 1.337361995560996093e+03
2.023699999999999832e+00 1.397148572764426035e+03
2.057399999999999896e+00 1.456176762132305839e+03
2.091099999999999959e+00 1.518127083131995278e+03
2.124899999999999789e+00 1.583170154570743762e+03
2.158599999999999852e+00 1.649248889367937181e+03
2.192299999999999915e+00 1.716448193251109615e+03
2.226100000000000190e+00 1.786837979617352403e+03
2.259799999999999809e+00 1.860321789719666867e+03
2.293499999999999872e+00 1.939127674572907608e+03
2.327199999999999935e+00 2.017109374944057663e+03
2.361000000000000210e+00 2.098502548441797444e+03
2.394699999999999829e+00 2.183208021431906218e+03
2.428399999999999892e+00 2.269187998327723108e+03
2.462200000000000166e+00 2.363130370289135044e+03
2.495899999999999785e+00 2.458356234953281273e+03
2.529599999999999849e+00 2.557209589448643328e+03
2.563299999999999912e+00 2.659761522587793024e+03
2.597100000000000186e+00 2.766126192178990550e+03
2.630799999999999805e+00 2.876185256256481807e+03
2.664499999999999869e+00 2.994793368789894430e+03
2.698300000000000143e+00 3.112705618354650596e+03
2.732000000000000206e+00 3.236856157709111812e+03
2.765699999999999825e+00 3.369871528902658611e+03
2.799399999999999888e+00 3.507034677730099247e+03
2.833200000000000163e+00 3.650951566326455122e+03
2.866899999999999782e+00 3.798999209562251963e+03
2.900599999999999845e+00 3.956386385855082153e+03
2.934400000000000119e+00 4.120833287231806935e+03
2.968100000000000183e+00 4.292157542292129619e+03
3.001799999999999802e+00 4.470566794943577406e+03
3.035499999999999865e+00 4.658770856708425526e+03
3.069300000000000139e+00 4.862327452499365791e+03
3.103000000000000203e+00 5.070520001328492071e+03
3.136699999999999822e+00 5.291505446274796668e+03
3.170399999999999885e+00 5.530888263200891743e+03
3.204200000000000159e+00 5.775463929821944475e+03
3.237899999999999778e+00 6.044094915026014860e+03
3.271599999999999842e+00 6.323354844160990069e+03
3.305400000000000116e+00 6.624785380575760428e+03
3.339100000000000179e+00 6.948092065625909527e+03
3.372799999999999798e+00 7.293726828398395810e+03
3.406499999999999861e+00 7.664683101274184082e+03
3.440300000000000136e+00 8.072817280698787727e+03
3.474000000000000199e+00 8.515151099284399606e+03
3.507699999999999818e+00 9.000722528327816690e+03
3.541500000000000092e+00 9.544740316084162259e+03
3.575200000000000156e+00 1.015284066420364252e+04
3.608900000000000219e+00 1.084924648285287913e+04
3.642599999999999838e+00 1.165819679987195195e+04
3.676400000000000112e+00 1.261963829691920182e+04
3.710100000000000176e+00 1.375825892102678517e+04
3.743799999999999795e+00 1.508207523859265348e+04
3.777600000000000069e+00 1.659878164019939868e+04
3.811300000000000132e+00 1.837193655825793394e+04
3.845000000000000195e+00 2.041489886101243974e+04
3.878699999999999815e+00 2.262439184679626487e+04
3.912500000000000089e+00 2.498333613161044559e+04
3.946200000000000152e+00 2.765773724332554048e+04
3.979900000000000215e+00 3.066648492301375518e+04
4.013700000000000045e+00 3.368674292663766391e+04
4.047399999999999665e+00 3.660914950690035766e+04
4.081100000000000172e+00 3.982412277699871629e+04
4.114799999999999791e+00 4.347157659477217385e+04
4.148600000000000065e+00 4.731417209381402063e+04
4.182299999999999685e+00 5.149654566610420443e+04
4.216000000000000192e+00 5.644316026580480684e+04
4.249699999999999811e+00 6.226509642445603095e+04
4.283500000000000085e+00 6.898008402700773149e+04
4.317199999999999704e+00 7.671464602416212438e+04
4.350900000000000212e+00 8.547390302530842018e+04
4.384699999999999598e+00 9.510015498604869936e+04
4.418400000000000105e+00 1.054808918376621150e+05
4.452099999999999724e+00 1.166302521441333229e+05
4.485800000000000232e+00 1.286424601820792595e+05
4.519599999999999618e+00 1.417462162364569958e+05
4.553300000000000125e+00 1.559673168104968790e+05
4.586999999999999744e+00 1.708402789848295797e+05
4.620800000000000018e+00 1.858577093142469530e+05
4.654499999999999638e+00 2.010089493611907528e+05
4.688200000000000145e+00 2.165847992513086356e+05
4.721899999999999764e+00 2.328140412718984298e+05
4.755700000000000038e+00 2.496406505856513977e+05
4.789399999999999658e+00 2.667708388841057895e+05
4.823100000000000165e+00 2.839504392616017722e+05
4.856900000000000439e+00 3.011735288463080651e+05
4.890600000000000058e+00 3.185335359981820802e+05
4.924299999999999677e+00 3.360238846160688554e+05
4.958000000000000185e+00 3.533780348660553573e+05
4.991799999999999571e+00 3.702617261694026529e+05
5.025500000000000078e+00 3.862982327654510736e+05
5.059199999999999697e+00 4.013436313902016263e+05
5.092999999999999972e+00 4.155109185185393435e+05
5.126699999999999591e+00 4.288327182330493815e+05
5.160400000000000098e+00 4.411216930072408868e+05
5.194099999999999717e+00 4.522011515693943365e+05
5.227899999999999991e+00 4.620879878105598036e+05
5.261599999999999611e+00 4.710635909516838146e+05
5.295300000000000118e+00 4.795697368022908922e+05
5.329100000000000392e+00 4.878707194434325793e+05
5.362800000000000011e+00 4.959103205454200506e+05
5.396499999999999631e+00 5.033939315790391993e+05
5.430200000000000138e+00 5.102027962163662305e+05
5.464000000000000412e+00 5.164992558096135035e+05
5.497700000000000031e+00 5.225526386918273638e+05
5.531399999999999650e+00 5.288816510883328738e+05
5.565100000000000158e+00 5.358697129129183013e+05
5.598900000000000432e+00 5.432437112920893123e+05
5.632600000000000051e+00 5.503464880271586590e+05
5.666299999999999670e+00 5.569174746170646977e+05
5.700099999999999945e+00 5.630623961209584959e+05
5.733799999999999564e+00 5.690514691489042016e+05
5.767500000000000071e+00 5.753189483065042878e+05
5.801199999999999690e+00 5.819888864235561341e+05
5.834999999999999964e+00 5.891085029862552183e+05
5.868699999999999584e+00 5.968067200828016503e+05
5.902400000000000091e+00 6.051282492126609432e+05
5.936200000000000365e+00 6.139994458676922368e+05
5.969899999999999984e+00 6.232844407717295690e+05
6.003599999999999604e+00 6.327944357094282750e+05
6.037300000000000111e+00 6.423157300888613099e+05
6.071100000000000385e+00 6.518684433266131673e+05
6.104800000000000004e+00 6.617057498815767467e+05
6.138499999999999623e+00 6.719554502191783395e+05
