# energy(eV) alpha
0.000000000000000000e+00 0.000000000000000000e+00
2.889999999999999861e-02 1.508411144505608981e+00
5.790000000000000008e-02 6.002686489027149186e+00
8.680000000000000215e-02 1.352679328907986722e+01
1.156999999999999973e-01 2.406272702561926025e+01
1.446999999999999953e-01 3.763251808961945954e+01
1.736000000000000043e-01 5.430687913095587760e+01
2.025000000000000133e-01 7.416119058895915828e+01
2.313999999999999946e-01 9.724860455376304458e+01
2.604000000000000203e-01 1.234856466174144174e+02
2.893000000000000016e-01 1.531798175841090597e+02
3.181999999999999829e-01 1.862590222471772563e+02
3.472000000000000086e-01 2.225919612367362390e+02
3.760999999999999899e-01 2.630955527546138342e+02
4.050000000000000266e-01 3.069188848136295746e+02
4.339999999999999969e-01 3.550373802751164476e+02
4.628999999999999782e-01 4.071268590082538594e+02
4.918000000000000149e-01 4.630192619705493371e+02
5.208000000000000407e-01 5.235773490078117902e+02
5.496999999999999664e-01 5.891409445025241212e+02
5.786000000000000032e-01 6.583989144948150170e+02
6.075000000000000400e-01 7.334313276271439008e+02
6.364999999999999547e-01 8.146234129632067607e+02
6.653999999999999915e-01 9.005998155594915033e+02
6.943000000000000282e-01 9.925088935056992341e+02
7.233000000000000540e-01 1.091187886035195561e+03
7.521999999999999797e-01 1.196579353794815233e+03
7.811000000000000165e-01 1.309590173868063175e+03
8.101000000000000423e-01 1.430114931941446457e+03
8.389999999999999680e-01 1.559174153674642412e+03
8.679000000000000048e-01 1.697842186202296034e+03
8.969000000000000306e-01 1.846079737688831756e+03
9.257999999999999563e-01 2.004375995588244450e+03
9.546999999999999931e-01 2.175239990960130854e+03
9.837000000000000188e-01 2.358683795675193323e+03
1.012599999999999945e+00 2.557386024771932171e+03
1.041500000000000092e+00 2.770065510714119682e+03
1.070400000000000018e+00 3.001420370022841325e+03
1.099399999999999933e+00 3.252425161573589321e+03
1.128300000000000081e+00 3.525424204888560780e+03
1.157200000000000006e+00 3.822945636263144024e+03
1.186199999999999921e+00 4.149271897827386965e+03
1.215100000000000069e+00 4.510251971736170162e+03
1.243999999999999995e+00 4.908174621558575382e+03
1.272999999999999909e+00 5.353721603739288184e+03
1.301900000000000057e+00 5.853465492769179036e+03
