# energy(eV) alpha
0.000000000000000000e+00 0.000000000000000000e+00
3.320000000000000034e-02 5.183952523606170093e-01
6.650000000000000355e-02 2.076612586481735079e+00
9.969999999999999696e-02 4.756225729107095290e+00
1.328999999999999904e-01 8.529416479136068929e+00
1.661999999999999866e-01 1.325958541137261726e+01
1.993999999999999939e-01 1.901796641144766298e+01
2.326000000000000012e-01 2.621337947823794678e+01
2.657999999999999807e-01 3.409564821222781461e+01
2.990999999999999770e-01 4.328268058882165548e+01
3.322999999999999843e-01 5.354463792935520416e+01
3.654999999999999916e-01 6.489157357361828815e+01
3.987999999999999878e-01 7.768723314795229840e+01
4.319999999999999951e-01 9.160380644675950634e+01
4.652000000000000024e-01 1.062545980240258388e+02
4.984999999999999987e-01 1.228687278260028251e+02
5.316999999999999504e-01 1.401883566741060463e+02
5.648999999999999577e-01 1.591246699748173512e+02
5.981999999999999540e-01 1.787552419073461749e+02
6.313999999999999613e-01 2.000247416015435817e+02
6.645999999999999686e-01 2.230430556633147603e+02
6.978999999999999648e-01 2.467202484500689366e+02
7.310999999999999721e-01 2.727900238625442739e+02
7.642999999999999794e-01 2.988205759668664427e+02
7.974999999999999867e-01 3.280634875518296667e+02
8.307999999999999829e-01 3.579541713247517123e+02
8.639999999999999902e-01 3.898067430748612878e+02
8.971999999999999975e-01 4.229651855800162252e+02
9.304999999999999938e-01 4.582722452850246668e+02
9.637000000000000011e-01 4.948822493441398933e+02
9.969000000000000083e-01 5.345362348118719638e+02
1.030200000000000005e+00 5.756963723678130691e+02
1.063399999999999901e+00 6.182382832358593987e+02
1.096600000000000019e+00 6.631406257227275773e+02
1.129899999999999904e+00 7.105387982047376454e+02
1.163100000000000023e+00 7.603843900499666688e+02
1.196299999999999919e+00 8.117872854741295896e+02
1.229500000000000037e+00 8.678766456165499221e+02
1.262799999999999923e+00 9.235827480136263148e+02
1.296000000000000041e+00 9.851833770898574585e+02
1.329199999999999937e+00 1.047437793679305969e+03
1.362500000000000044e+00 1.114922714028755763e+03
1.395699999999999941e+00 1.185359583064583603e+03
1.428900000000000059e+00 1.257658724607216072e+03
1.462199999999999944e+00 1.335614444417195045e+03
1.495400000000000063e+00 1.416714293498723237e+03
1.528599999999999959e+00 1.502396595348299570e+03
1.561900000000000066e+00 1.592888502974139783e+03
1.595099999999999962e+00 1.689460630200683681e+03
1.628300000000000081e+00 1.788317189511308925e+03
1.661599999999999966e+00 1.895071790970678876e+03
1.694800000000000084e+00 2.006946272625201118e+03
1.727999999999999980e+00 2.127027944539354849e+03
1.761200000000000099e+00 2.254122431196539765e+03
1.794499999999999984e+00 2.388514231055932214e+03
1.827700000000000102e+00 2.531592955437648925e+03
1.860899999999999999e+00 2.682229176662990540e+03
1.894200000000000106e+00 2.846897518291272263e+03
1.927400000000000002e+00 3.020990625498322515e+03
1.960599999999999898e+00 3.208018650800060186e+03
1.993900000000000006e+00 3.410149280760923375e+03
2.027099999999999902e+00 3.630642279127769598e+03
2.060299999999999798e+00 3.868501479489190842e+03
2.093599999999999905e+00 4.129341256771446751e+03
2.126799999999999802e+00 4.411573756734579547e+03
2.160000000000000142e+00 4.726245958614004849e+03
2.193200000000000038e+00 5.077595452576435491e+03
2.226500000000000146e+00 5.468465045757485314e+03
2.259700000000000042e+00 5.917028256443119062e+03
2.292899999999999938e+00 6.435673202315447270e+03
