# energy(eV) alpha
0.000000000000000000e+00 0.000000000000000000e+00
3.880000000000000115e-02 2.613360153812991804e+00
7.760000000000000231e-02 1.050909369267094995e+01
1.164000000000000035e-01 2.368186066775111343e+01
1.552000000000000046e-01 4.223756244514731861e+01
1.940000000000000058e-01 6.653583424487860043e+01
2.328000000000000069e-01 9.647333387504241387e+01
2.716999999999999971e-01 1.321638251402901574e+02
3.104999999999999982e-01 1.740350965449586340e+02
3.492999999999999994e-01 2.223525933550991738e+02
3.881000000000000005e-01 2.779075933754571679e+02
4.269000000000000017e-01 3.404520624277492402e+02
4.657000000000000028e-01 4.112178509610412789e+02
5.044999999999999485e-01 4.899066423490718876e+02
5.433000000000000052e-01 5.783799739055343707e+02
5.820999999999999508e-01 6.763724329030370654e+02
6.209000000000000075e-01 7.856462387438277801e+02
6.596999999999999531e-01 9.068405477962340910e+02
6.985000000000000098e-01 1.042074573482974301e+03
7.372999999999999554e-01 1.192712516181894216e+03
7.762000000000000011e-01 1.360372220922883344e+03
8.149999999999999467e-01 1.546773915796265101e+03
8.538000000000000034e-01 1.757389934497619151e+03
8.925999999999999490e-01 1.993727398044046822e+03
9.314000000000000057e-01 2.260480927864374280e+03
9.701999999999999513e-01 2.564856231707335610e+03
1.008999999999999897e+00 2.911810448883240042e+03
1.047800000000000065e+00 3.310961438326426560e+03
1.086600000000000010e+00 3.776398893415767361e+03
1.125399999999999956e+00 4.324034678965467720e+03
1.164199999999999902e+00 4.975628844229826427e+03
1.203000000000000069e+00 5.763980249931173603e+03
1.241900000000000004e+00 6.738028346923178105e+03
1.280699999999999950e+00 7.967590683496190650e+03
1.319499999999999895e+00 9.563268782145438308e+03
1.358300000000000063e+00 1.168759546253995723e+04
1.397100000000000009e+00 1.451713517587934075e+04
1.435899999999999954e+00 1.811380407324962653e+04
1.474699999999999900e+00 2.248079375751527186e+04
1.513500000000000068e+00 2.791070443688616069e+04
1.552300000000000013e+00 3.525872090322244185e+04
1.591099999999999959e+00 4.637410479209398909e+04
1.629899999999999904e+00 6.291234602452092076e+04
1.668700000000000072e+00 8.461306620160229795e+04
1.707500000000000018e+00 1.068070251632282016e+05
1.746399999999999952e+00 1.204801218819288624e+05
1.785199999999999898e+00 1.225248953611464094e+05
1.824000000000000066e+00 1.205435811282667855e+05
1.862800000000000011e+00 1.188430490281418315e+05
1.901599999999999957e+00 1.145274668703388452e+05
1.940399999999999903e+00 1.066368354280781932e+05
1.979200000000000070e+00 9.864696032641291094e+04
2.017999999999999794e+00 9.421854697120998753e+04
2.056799999999999962e+00 9.454461998505452357e+04
2.095600000000000129e+00 9.775194064573492506e+04
2.134399999999999853e+00 1.016325495586359611e+05
2.173200000000000021e+00 1.049033316053925082e+05
2.212000000000000188e+00 1.059868316700530704e+05
2.250900000000000123e+00 1.030876296099846222e+05
2.289699999999999847e+00 9.690704935026644671e+04
2.328500000000000014e+00 9.101581405277385784e+04
2.367300000000000182e+00 8.890087272938020760e+04
2.406099999999999905e+00 9.186380390916725446e+04
2.444900000000000073e+00 9.959799511089174484e+04
2.483699999999999797e+00 1.104900320656996482e+05
2.522499999999999964e+00 1.210679428762664174e+05
2.561300000000000132e+00 1.268281577806974528e+05
2.600099999999999856e+00 1.272063179158080020e+05
2.638900000000000023e+00 1.252231256785245496e+05
2.677700000000000191e+00 1.244800796518474963e+05
2.716499999999999915e+00 1.268031077443099348e+05
2.755399999999999849e+00 1.316982711330812308e+05
2.794200000000000017e+00 1.385208687804407091e+05
2.833000000000000185e+00 1.472849213087371900e+05
2.871799999999999908e+00 1.586878636130155355e+05
2.910600000000000076e+00 1.720143219311928260e+05
2.949399999999999800e+00 1.833232092799230886e+05
2.988199999999999967e+00 1.908583072484724689e+05
3.027000000000000135e+00 1.971928521240376576e+05
3.065799999999999859e+00 2.029760878349731793e+05
3.104600000000000026e+00 2.094275098610637651e+05
3.143400000000000194e+00 2.180466864871773869e+05
3.182199999999999918e+00 2.274144597224669706e+05
3.221099999999999852e+00 2.365143888295820507e+05
3.259900000000000020e+00 2.448717264033137471e+05
3.298700000000000188e+00 2.522863609503144689e+05
3.337499999999999911e+00 2.599627788848291966e+05
3.376300000000000079e+00 2.698485067720782245e+05
3.415099999999999802e+00 2.823351177851104876e+05
3.453899999999999970e+00 2.953430051505501033e+05
