# energy(eV) alpha
0.000000000000000000e+00 0.000000000000000000e+00
3.109999999999999917e-02 1.026833472907041411e+00
6.210000000000000242e-02 4.051634253683071840e+00
9.320000000000000506e-02 9.156643215125033208e+00
1.242999999999999938e-01 1.650806209006026748e+01
1.552999999999999936e-01 2.562348105824570510e+01
1.864000000000000101e-01 3.689615105654549865e+01
2.174999999999999989e-01 5.055383401007760114e+01
2.484999999999999987e-01 6.632138240625960179e+01
2.796000000000000152e-01 8.424480784384491017e+01
3.106999999999999762e-01 1.045385592939693140e+02
3.417000000000000037e-01 1.269651121845938206e+02
3.728000000000000203e-01 1.521719709369699274e+02
4.038999999999999813e-01 1.789986550928528573e+02
4.349000000000000088e-01 2.092856466999204486e+02
4.660000000000000253e-01 2.415841586697560786e+02
4.970999999999999863e-01 2.773196848358774673e+02
5.281000000000000139e-01 3.158134829735305971e+02
5.592000000000000304e-01 3.568022006436594893e+02
5.903000000000000469e-01 4.015992887396217839e+02
6.212999999999999634e-01 4.488751869116856028e+02
6.523999999999999799e-01 4.997751068780970627e+02
6.834999999999999964e-01 5.554111848139490348e+02
7.145000000000000240e-01 6.137426046388271743e+02
7.456000000000000405e-01 6.766465773881789119e+02
7.766999999999999460e-01 7.430319596001463651e+02
8.076999999999999735e-01 8.153304530321869379e+02
8.387999999999999901e-01 8.927659676201526509e+02
8.699000000000000066e-01 9.754137990152700013e+02
9.009000000000000341e-01 1.063325055063909758e+03
9.320000000000000506e-01 1.157610037234390347e+03
9.630999999999999561e-01 1.259856525337914036e+03
9.940999999999999837e-01 1.368769215911156380e+03
1.025199999999999889e+00 1.486387474309514573e+03
1.056300000000000017e+00 1.612908286396133690e+03
1.087299999999999933e+00 1.750157781579437369e+03
1.118400000000000061e+00 1.898878658905033490e+03
1.149499999999999966e+00 2.061090497353300634e+03
1.180500000000000105e+00 2.236243039731217323e+03
1.211600000000000010e+00 2.428792850414652094e+03
1.242699999999999916e+00 2.641082340691230911e+03
1.273800000000000043e+00 2.873891817215413084e+03
1.304799999999999960e+00 3.134511256347020208e+03
1.335900000000000087e+00 3.425440061745463481e+03
1.366999999999999993e+00 3.753630897201213884e+03
1.397999999999999909e+00 4.127307866906158779e+03
1.429100000000000037e+00 4.556000878951281265e+03
1.460199999999999942e+00 5.056239662970711834e+03
1.491200000000000081e+00 5.647397463680011242e+03
1.522299999999999986e+00 6.360777543346434868e+03
1.553399999999999892e+00 7.239108927699204287e+03
1.584400000000000031e+00 8.342820629662228384e+03
1.615499999999999936e+00 9.768950970309480908e+03
1.646600000000000064e+00 1.163841101532995344e+04
1.677599999999999980e+00 1.406592438392438271e+04
1.708700000000000108e+00 1.708483411425443046e+04
1.739800000000000013e+00 2.057321741496336836e+04
1.770799999999999930e+00 2.431886485716905736e+04
1.801900000000000057e+00 2.814963524523217711e+04
1.832999999999999963e+00 3.207102514659764347e+04
1.864000000000000101e+00 3.622590328807254264e+04
1.895100000000000007e+00 4.063939484306293161e+04
1.926199999999999912e+00 4.494614602046612708e+04
1.957200000000000051e+00 4.860386267249629600e+04
1.988299999999999956e+00 5.133445126203772088e+04
2.019400000000000084e+00 5.309974119488304132e+04
2.050399999999999778e+00 5.402432045212396042e+04
2.081500000000000128e+00 5.459482763788934972e+04
2.112600000000000033e+00 5.532267838815521100e+04
2.143600000000000172e+00 5.637297423546821665e+04
2.174700000000000077e+00 5.765779503765786649e+04
2.205799999999999983e+00 5.912235587574068632e+04
2.236800000000000122e+00 6.093683315957246668e+04
2.267900000000000027e+00 6.341634259839687002e+04
2.298999999999999932e+00 6.698974638276088808e+04
2.330000000000000071e+00 7.185346470284015231e+04
2.361099999999999977e+00 7.746707314103181125e+04
2.392199999999999882e+00 8.310465401159315661e+04
2.423200000000000021e+00 8.856527594913070789e+04
2.454299999999999926e+00 9.413241240784722322e+04
2.485399999999999832e+00 1.003926073728100455e+05
2.516399999999999970e+00 1.071912375148909050e+05
2.547499999999999876e+00 1.138879192029887345e+05
2.578599999999999781e+00 1.200916663421760750e+05
2.609599999999999920e+00 1.248666700055748370e+05
2.640699999999999825e+00 1.279576630409953214e+05
2.671800000000000175e+00 1.306240024904091697e+05
2.702799999999999869e+00 1.342222339094599592e+05
2.733900000000000219e+00 1.394689450979301764e+05
2.765000000000000124e+00 1.462882716425692197e+05
2.795999999999999819e+00 1.536262604081143218e+05
2.827100000000000168e+00 1.602407410266273364e+05
2.858200000000000074e+00 1.667626813121281739e+05
2.889200000000000212e+00 1.755269519890300580e+05
2.920300000000000118e+00 1.884317203498117451e+05
2.951400000000000023e+00 2.046776184482995304e+05
2.982400000000000162e+00 2.208733840612574131e+05
3.013500000000000068e+00 2.333569038983802020e+05
3.044599999999999973e+00 2.408729785360394162e+05
3.075600000000000112e+00 2.450622712920716149e+05
3.106700000000000017e+00 2.473445167015078187e+05
3.137799999999999923e+00 2.487277412211715418e+05
3.168800000000000061e+00 2.507009519697734213e+05
3.199899999999999967e+00 2.540568007917575014e+05
3.230999999999999872e+00 2.593639587726133177e+05
3.262000000000000011e+00 2.672658776193263475e+05
3.293099999999999916e+00 2.774170456370111206e+05
3.324199999999999822e+00 2.875773152131966199e+05
3.355199999999999960e+00 2.959937959991988027e+05
3.386299999999999866e+00 3.038454294183561578e+05
3.417400000000000215e+00 3.116977118076619809e+05
3.448399999999999910e+00 3.187514726558302646e+05
3.479499999999999815e+00 3.255394011482315836e+05
3.510600000000000165e+00 3.323593901365068741e+05
3.541599999999999859e+00 3.383166016443878179e+05
3.572700000000000209e+00 3.426590063997124671e+05
3.603800000000000114e+00 3.449362512305561686e+05
3.634799999999999809e+00 3.448329173392726225e+05
3.665900000000000158e+00 3.434288040262008435e+05
3.697000000000000064e+00 3.426149235788582591e+05
3.728000000000000203e+00 3.443424846329455031e+05
3.759100000000000108e+00 3.502394070677420241e+05
3.790200000000000014e+00 3.605287893981701927e+05
3.821299999999999919e+00 3.740548076275116182e+05
3.852300000000000058e+00 3.894294708622912294e+05
3.883399999999999963e+00 4.055836030253528152e+05
3.914499999999999869e+00 4.218464764911422972e+05
