# energy(eV) alpha
0.000000000000000000e+00 0.000000000000000000e+00
3.309999999999999748e-02 6.495386849369227944e-01
6.619999999999999496e-02 2.598044243771389095e+00
9.929999999999999938e-02 5.845127285155196084e+00
1.323999999999999899e-01 1.050303636795635320e+01
1.653999999999999915e-01 1.650450644730267769e+01
1.985000000000000098e-01 2.369693730710691426e+01
2.316000000000000003e-01 3.218368440019596477e+01
2.646999999999999909e-01 4.218908013032281445e+01
2.978000000000000091e-01 5.379518916284973784e+01
3.309000000000000274e-01 6.652019762510708745e+01
3.639999999999999902e-01 8.058834837681732211e+01
3.971000000000000085e-01 9.633336866402497378e+01
4.302000000000000268e-01 1.138363240842244153e+02
4.632999999999999896e-01 1.323900011683418825e+02
4.963000000000000189e-01 1.527198542078228343e+02
5.293999999999999817e-01 1.749641041423616059e+02
5.625000000000000000e-01 1.986962363211610523e+02
5.956000000000000183e-01 2.234040822104094559e+02
6.287000000000000366e-01 2.511345118628960336e+02
6.618000000000000549e-01 2.798836449188237339e+02
6.948999999999999622e-01 3.113282714670925770e+02
7.279999999999999805e-01 3.437785617326226202e+02
7.610999999999999988e-01 3.790782186088198955e+02
7.942000000000000171e-01 4.167086392308186760e+02
8.272000000000000464e-01 4.559892897504579992e+02
8.602999999999999536e-01 4.984712460954095832e+02
8.933999999999999719e-01 5.427455706351428262e+02
9.264999999999999902e-01 5.895829806908825503e+02
9.596000000000000085e-01 6.398572968691469214e+02
9.927000000000000268e-01 6.928834707799203443e+02
1.025800000000000045e+00 7.487220060988173600e+02
1.058899999999999952e+00 8.083309994432619305e+02
1.092000000000000082e+00 8.718475224651141389e+02
1.125099999999999989e+00 9.384720664586317298e+02
1.158099999999999907e+00 1.010110562537788155e+03
1.191200000000000037e+00 1.086147569840216192e+03
1.224299999999999944e+00 1.166627735194494790e+03
1.257400000000000073e+00 1.252720235654659291e+03
1.290499999999999980e+00 1.344639069540828132e+03
1.323600000000000110e+00 1.442568735528353045e+03
1.356700000000000017e+00 1.546691735062275029e+03
1.389799999999999924e+00 1.659483549867378088e+03
1.422900000000000054e+00 1.781277365442904284e+03
1.455899999999999972e+00 1.911064075381890689e+03
1.489000000000000101e+00 2.052983360003394409e+03
1.522100000000000009e+00 2.206082563802202458e+03
1.555199999999999916e+00 2.373281848642191108e+03
1.588300000000000045e+00 2.556324218324500634e+03
1.621399999999999952e+00 2.758368626786794266e+03
1.654500000000000082e+00 2.981374104220468325e+03
1.687599999999999989e+00 3.232822332541654760e+03
1.720699999999999896e+00 3.512267859897054223e+03
1.753800000000000026e+00 3.833198694368109500e+03
1.786799999999999944e+00 4.200962105403117675e+03
1.819900000000000073e+00 4.631945511970083317e+03
1.852999999999999980e+00 5.143978258438753983e+03
1.886100000000000110e+00 5.764736332141711500e+03
1.919200000000000017e+00 6.539650038673433301e+03
1.952299999999999924e+00 7.531376332533591267e+03
1.985400000000000054e+00 8.830149587791398517e+03
2.018499999999999961e+00 1.054530628317865740e+04
2.051600000000000090e+00 1.274290878273989074e+04
2.084700000000000220e+00 1.536131233235129548e+04
2.117700000000000138e+00 1.819088481629178932e+04
2.150799999999999823e+00 2.100253623021997919e+04
2.183899999999999952e+00 2.374619750822682909e+04
2.217000000000000082e+00 2.654419156036009736e+04
2.250100000000000211e+00 2.964387554360336071e+04
2.283199999999999896e+00 3.323792941322150728e+04
2.316300000000000026e+00 3.715954538807873905e+04
2.349400000000000155e+00 4.105620456987198122e+04
2.382499999999999840e+00 4.479479494477713888e+04
2.415599999999999969e+00 4.842060458331932023e+04
2.448599999999999888e+00 5.081418576217060036e+04
2.481700000000000017e+00 5.075244652528443839e+04
2.514800000000000146e+00 4.938432890828880772e+04
2.547899999999999832e+00 4.859328243773619761e+04
2.580999999999999961e+00 4.881538072309980635e+04
2.614100000000000090e+00 4.943065451903989742e+04
2.647200000000000220e+00 5.017253943615819298e+04
2.680299999999999905e+00 5.146502595338612446e+04
2.713400000000000034e+00 5.368942186360529013e+04
2.746399999999999952e+00 5.698377212980132754e+04
2.779500000000000082e+00 6.169297305793764099e+04
2.812600000000000211e+00 6.773276622748903173e+04
2.845699999999999896e+00 7.389116662310405809e+04
2.878800000000000026e+00 7.883809841648097790e+04
2.911900000000000155e+00 8.251454650518138078e+04
2.944999999999999840e+00 8.647672700966894627e+04
2.978099999999999969e+00 9.289645800915495784e+04
3.011200000000000099e+00 1.026420835933685303e+05
3.044299999999999784e+00 1.130810150318613596e+05
3.077300000000000146e+00 1.193897690452962124e+05
3.110399999999999832e+00 1.206493221446250391e+05
3.143499999999999961e+00 1.208199802491452137e+05
3.176600000000000090e+00 1.230535928145151993e+05
3.209700000000000220e+00 1.278275017790729325e+05
3.242799999999999905e+00 1.350310428318361519e+05
3.275900000000000034e+00 1.436677708417455724e+05
3.309000000000000163e+00 1.516036278200009547e+05
