# energy(eV) alpha
0.000000000000000000e+00 0.000000000000000000e+00
3.710000000000000103e-02 2.078047919546216704e+00
7.430000000000000493e-02 8.378483025074327628e+00
1.113999999999999990e-01 1.896521307707550008e+01
1.484999999999999931e-01 3.369754510349483212e+01
1.857000000000000040e-01 5.279226505259043023e+01
2.227999999999999980e-01 7.643982473673267464e+01
2.599000000000000199e-01 1.046209021792835188e+02
2.970999999999999752e-01 1.376726955803701742e+02
3.341999999999999971e-01 1.756585470908696038e+02
3.713000000000000189e-01 2.190405254726343856e+02
4.084999999999999742e-01 2.674915197596540111e+02
4.455999999999999961e-01 3.216110902445002466e+02
4.827000000000000179e-01 3.820329253955137006e+02
5.199000000000000288e-01 4.487458802450851181e+02
5.570000000000000506e-01 5.226127897754205378e+02
5.940999999999999615e-01 6.040717614336772385e+02
6.312999999999999723e-01 6.935805847700599998e+02
6.683999999999999941e-01 7.917571575023123387e+02
7.055000000000000160e-01 8.996366897546489554e+02
7.427000000000000268e-01 1.018916737569828797e+03
7.798000000000000487e-01 1.148795211858220000e+03
8.168999999999999595e-01 1.292848417651592399e+03
8.540999999999999703e-01 1.450774197067637715e+03
8.911999999999999922e-01 1.624817910136193859e+03
9.283000000000000140e-01 1.817983652457515518e+03
9.655000000000000249e-01 2.032878703792939859e+03
1.002599999999999936e+00 2.272344609415371451e+03
1.039700000000000069e+00 2.540077767824494913e+03
1.076899999999999968e+00 2.840794629628335315e+03
1.114000000000000101e+00 3.182693778806117280e+03
1.151100000000000012e+00 3.573011089360920323e+03
1.188299999999999912e+00 4.021855415758155686e+03
1.225400000000000045e+00 4.544171716455342903e+03
1.262499999999999956e+00 5.157643621183166943e+03
1.299700000000000077e+00 5.893650286953121395e+03
1.336799999999999988e+00 6.788619470495851601e+03
1.373899999999999899e+00 7.904730598924633341e+03
1.411100000000000021e+00 9.333322126533546907e+03
1.448199999999999932e+00 1.122522694731283809e+04
1.485300000000000065e+00 1.380848523114410455e+04
1.522499999999999964e+00 1.738394407649541972e+04
1.559600000000000097e+00 2.209091317065679323e+04
1.596700000000000008e+00 2.750063285920030830e+04
1.633899999999999908e+00 3.338852395205279026e+04
1.671000000000000041e+00 4.074734704996939399e+04
1.708099999999999952e+00 4.906945167152098293e+04
1.745300000000000074e+00 5.581894101154569216e+04
1.782399999999999984e+00 6.089613020895668160e+04
1.819499999999999895e+00 6.722804138464557764e+04
1.856700000000000017e+00 7.580254926275307662e+04
1.893799999999999928e+00 8.297791667432188115e+04
1.930900000000000061e+00 8.632638328202466073e+04
1.968099999999999961e+00 8.991374249380668334e+04
2.005199999999999871e+00 9.881730510822478391e+04
2.042300000000000004e+00 1.130443445768312813e+05
2.079499999999999904e+00 1.280624933987933036e+05
2.116600000000000037e+00 1.389346296243136458e+05
2.153700000000000170e+00 1.454250463145244285e+05
2.190900000000000070e+00 1.514309307868476026e+05
2.228000000000000203e+00 1.606934334403067769e+05
2.265099999999999891e+00 1.724398045327682339e+05
2.302299999999999791e+00 1.836100600432348438e+05
2.339399999999999924e+00 1.906141324853898259e+05
2.376500000000000057e+00 1.903724129210416577e+05
2.413699999999999957e+00 1.836103911056950456e+05
2.450800000000000090e+00 1.754662358379100624e+05
2.487899999999999778e+00 1.728611495458256395e+05
2.525100000000000122e+00 1.786872082088334719e+05
2.562199999999999811e+00 1.891697164961869130e+05
2.599299999999999944e+00 1.971668881137156277e+05
2.636499999999999844e+00 1.994371455258158967e+05
2.673599999999999977e+00 1.992070612217404414e+05
2.710700000000000109e+00 2.016363695231252059e+05
2.747900000000000009e+00 2.067115485095428885e+05
2.785000000000000142e+00 2.081457611132317106e+05
2.822099999999999831e+00 2.037247747596140252e+05
2.859300000000000175e+00 1.961770210066269210e+05
2.896399999999999864e+00 1.885524407691395318e+05
2.933499999999999996e+00 1.844509046366393450e+05
2.970699999999999896e+00 1.855074703293026541e+05
3.007800000000000029e+00 1.880639127348879992e+05
3.044900000000000162e+00 1.884039728776071861e+05
3.082100000000000062e+00 1.892252557416223863e+05
3.119200000000000195e+00 1.951632709477781318e+05
3.156299999999999883e+00 2.055318291581234371e+05
3.193400000000000016e+00 2.153220129308968608e+05
3.230599999999999916e+00 2.224351142116806586e+05
3.267700000000000049e+00 2.290098109220727347e+05
3.304800000000000182e+00 2.375961305678499339e+05
