# energy(eV) alpha
0.000000000000000000e+00 0.000000000000000000e+00
3.289999999999999869e-02 5.692533553805411151e-01
6.590000000000000024e-02 2.337363139578432225e+00
9.879999999999999893e-02 5.384235332334096569e+00
1.317000000000000115e-01 9.454636733621995859e+00
1.647000000000000131e-01 1.467083615350630410e+01
1.975999999999999979e-01 2.118656597318966561e+01
2.305000000000000104e-01 2.909325244496358565e+01
2.635000000000000120e-01 3.803356156198039173e+01
2.963999999999999968e-01 4.815018276806838315e+01
3.292999999999999816e-01 5.973788023230596878e+01
3.622000000000000219e-01 7.225385661981562180e+01
3.951999999999999957e-01 8.631546776815342525e+01
4.280999999999999805e-01 1.019630737059815999e+02
4.610000000000000209e-01 1.181045301676948895e+02
4.939999999999999947e-01 1.362998901883137535e+02
5.269000000000000350e-01 1.557526286756650791e+02
5.597999999999999643e-01 1.769675037250795810e+02
5.927999999999999936e-01 1.995465910527667859e+02
6.257000000000000339e-01 2.234227477254109147e+02
6.585999999999999632e-01 2.486192072371110271e+02
6.915999999999999925e-01 2.757680135544569566e+02
7.245000000000000329e-01 3.048663760394143765e+02
7.573999999999999622e-01 3.353848051724767174e+02
7.903999999999999915e-01 3.680359417705849410e+02
8.233000000000000318e-01 4.028048018359987736e+02
8.561999999999999611e-01 4.390833054980204793e+02
8.891999999999999904e-01 4.769121114528367684e+02
9.221000000000000307e-01 5.177538341987502690e+02
9.549999999999999600e-01 5.610019436219499767e+02
9.879000000000000004e-01 6.058812451212623955e+02
1.020899999999999919e+00 6.533174490451413021e+02
1.053800000000000070e+00 7.041499003967520594e+02
1.086699999999999999e+00 7.567451323103973664e+02
1.119699999999999918e+00 8.130584037624181519e+02
1.152600000000000069e+00 8.721129127506143277e+02
1.185499999999999998e+00 9.350585766253636848e+02
1.218499999999999917e+00 1.000035599195627810e+03
1.251400000000000068e+00 1.068999876554762068e+03
1.284299999999999997e+00 1.143240803560372115e+03
1.317299999999999915e+00 1.221951276485084463e+03
1.350200000000000067e+00 1.305082660351534741e+03
1.383099999999999996e+00 1.391681527133120653e+03
1.416099999999999914e+00 1.484294747105523584e+03
1.449000000000000066e+00 1.582888706379059840e+03
1.481899999999999995e+00 1.689003800218374408e+03
