# energy(eV) alpha
0.000000000000000000e+00 0.000000000000000000e+00
4.209999999999999853e-02 6.351686819873106904e-01
8.419999999999999707e-02 2.465846890530655866e+00
1.262000000000000066e-01 5.599296595661268583e+00
1.683000000000000052e-01 9.706298581967274686e+00
2.104000000000000037e-01 1.549230711576724140e+01
2.525000000000000022e-01 2.217251624764676521e+01
2.944999999999999840e-01 3.003376289464194215e+01
3.366000000000000103e-01 3.969087096316862073e+01
3.786999999999999811e-01 5.034934344769372672e+01
4.208000000000000074e-01 6.226786244963951589e+01
4.628999999999999782e-01 7.503479064242472418e+01
5.049000000000000155e-01 8.986004742496041331e+01
5.470000000000000417e-01 1.055441250535874929e+02
5.890999999999999570e-01 1.229987083811434019e+02
6.311999999999999833e-01 1.417737387854818962e+02
6.733000000000000096e-01 1.612712134667143289e+02
7.153000000000000469e-01 1.832438662430571128e+02
7.573999999999999622e-01 2.059547950482707392e+02
7.994999999999999885e-01 2.299688987369783035e+02
8.416000000000000147e-01 2.567642574197460021e+02
8.836000000000000520e-01 2.834106171295761669e+02
9.256999999999999673e-01 3.138216608811723631e+02
9.677999999999999936e-01 3.440270590449524093e+02
1.009900000000000020e+00 3.755786492953455991e+02
1.052000000000000046e+00 4.103233092116413445e+02
1.094000000000000083e+00 4.465007106749610557e+02
1.136100000000000110e+00 4.841903167311058951e+02
1.178199999999999914e+00 5.233387101261513408e+02
1.220299999999999940e+00 5.660778714369733962e+02
1.262299999999999978e+00 6.081422630289210929e+02
1.304400000000000004e+00 6.551042436407669811e+02
1.346500000000000030e+00 7.025280737672450186e+02
1.388600000000000056e+00 7.539204893029581172e+02
1.430700000000000083e+00 8.057516902361094253e+02
1.472699999999999898e+00 8.616796668185352246e+02
1.514799999999999924e+00 9.193848648226248770e+02
1.556899999999999951e+00 9.801422233114525397e+02
1.598999999999999977e+00 1.041279772562676044e+03
1.641000000000000014e+00 1.106864346528627493e+03
1.683100000000000041e+00 1.175749925722368971e+03
1.725200000000000067e+00 1.247975939502193341e+03
1.767300000000000093e+00 1.323610227975276302e+03
1.809399999999999897e+00 1.402721506942654969e+03
1.851399999999999935e+00 1.483737416132144972e+03
1.893499999999999961e+00 1.570024622651338859e+03
1.935599999999999987e+00 1.660025607538464783e+03
1.977700000000000014e+00 1.752118316102110384e+03
2.019800000000000040e+00 1.849708613659777257e+03
2.061799999999999855e+00 1.952867372784192412e+03
2.103899999999999881e+00 2.061951724494254449e+03
2.145999999999999908e+00 2.173350566378197527e+03
2.188099999999999934e+00 2.292618230487830260e+03
2.230100000000000193e+00 2.416084981497935587e+03
2.272200000000000220e+00 2.545925254431460417e+03
2.314299999999999802e+00 2.684138900546557579e+03
2.356399999999999828e+00 2.826953990844314831e+03
2.398499999999999854e+00 2.978424519566162417e+03
2.440500000000000114e+00 3.136616627761306972e+03
2.482600000000000140e+00 3.305962570154990317e+03
2.524700000000000166e+00 3.480361181683420909e+03
2.566800000000000193e+00 3.668295998000519830e+03
2.608800000000000008e+00 3.863480862135927509e+03
2.650900000000000034e+00 4.072836490741832677e+03
2.693000000000000060e+00 4.289886407524282731e+03
2.735100000000000087e+00 4.523587439403924691e+03
2.777200000000000113e+00 4.774261466163840851e+03
2.819199999999999928e+00 5.035249107901432581e+03
2.861299999999999955e+00 5.316148009278474092e+03
2.903399999999999981e+00 5.614797449425300329e+03
2.945500000000000007e+00 5.936161426107992156e+03
2.987499999999999822e+00 6.277984512015787004e+03
3.029599999999999849e+00 6.643315509629670487e+03
3.071699999999999875e+00 7.034568734051750653e+03
3.113799999999999901e+00 7.461885557102214079e+03
3.155899999999999928e+00 7.918253926445358957e+03
3.197900000000000187e+00 8.416026421156875585e+03
3.240000000000000213e+00 8.958630384634983784e+03
3.282099999999999795e+00 9.546078972311313919e+03
3.324199999999999822e+00 1.019141283362445938e+04
3.366299999999999848e+00 1.089987862439859418e+04
3.408300000000000107e+00 1.168688218597468403e+04
3.450400000000000134e+00 1.255573253851262598e+04
3.492500000000000160e+00 1.353217372189293019e+04
3.534600000000000186e+00 1.462898751941679257e+04
3.576600000000000001e+00 1.587687941309903727e+04
3.618700000000000028e+00 1.730473463409968826e+04
3.660800000000000054e+00 1.896347126417583058e+04
3.702900000000000080e+00 2.091145955535383473e+04
3.745000000000000107e+00 2.324301196251813235e+04
3.786999999999999922e+00 2.609456911183466946e+04
3.829099999999999948e+00 2.967074115208968942e+04
3.871199999999999974e+00 3.426584637602755538e+04
3.913300000000000001e+00 4.021328821852739202e+04
3.955299999999999816e+00 4.773411262054032704e+04
3.997399999999999842e+00 5.734953766475565499e+04
4.039500000000000313e+00 7.044095701000295230e+04
4.081599999999999895e+00 8.832376371507754084e+04
4.123700000000000365e+00 1.107793466483363736e+05
4.165700000000000180e+00 1.359731800540946424e+05
4.207799999999999763e+00 1.636187578248591162e+05
4.249900000000000233e+00 1.944899428618981037e+05
4.291999999999999815e+00 2.268854623201881477e+05
4.333999999999999631e+00 2.567052164133740880e+05
4.376100000000000101e+00 2.832709783711027121e+05
4.418199999999999683e+00 3.109297587646923494e+05
4.460300000000000153e+00 3.391704622530743945e+05
4.502399999999999736e+00 3.619249587547667907e+05
4.544400000000000439e+00 3.817249453429434216e+05
4.586500000000000021e+00 4.041621426733442349e+05
4.628599999999999604e+00 4.282264545267829089e+05
4.670700000000000074e+00 4.504421298738571932e+05
4.712799999999999656e+00 4.709874057714633527e+05
4.754800000000000360e+00 4.902420628376941895e+05
4.796899999999999942e+00 5.088162811154326773e+05
4.839000000000000412e+00 5.273542032077187905e+05
4.881099999999999994e+00 5.436715675259861164e+05
4.923099999999999810e+00 5.555465497143553803e+05
4.965200000000000280e+00 5.621450439592610346e+05
5.007299999999999862e+00 5.625612778099480784e+05
5.049400000000000333e+00 5.577658237789092818e+05
5.091499999999999915e+00 5.490869193186865887e+05
5.133499999999999730e+00 5.386890597055152757e+05
5.175600000000000200e+00 5.285720555814062245e+05
5.217699999999999783e+00 5.192317847343178000e+05
5.259800000000000253e+00 5.082141374738792074e+05
5.301800000000000068e+00 4.924842477079581586e+05
5.343899999999999650e+00 4.748513176775877946e+05
5.386000000000000121e+00 4.601431382293628412e+05
5.428099999999999703e+00 4.495301525079602725e+05
5.470200000000000173e+00 4.406237948691613274e+05
5.512199999999999989e+00 4.311528222098140395e+05
5.554299999999999571e+00 4.218011366684278473e+05
5.596400000000000041e+00 4.151504228988945251e+05
5.638499999999999623e+00 4.139075393934748718e+05
5.680500000000000327e+00 4.182624764132702840e+05
5.722599999999999909e+00 4.261151247241726960e+05
5.764700000000000379e+00 4.358298220010321820e+05
5.806799999999999962e+00 4.484212521360750543e+05
5.848900000000000432e+00 4.644842224718337529e+05
5.890900000000000247e+00 4.828122281614164822e+05
5.932999999999999829e+00 5.026189809159488068e+05
5.975100000000000300e+00 5.253722402280996321e+05
6.017199999999999882e+00 5.526679578254382359e+05
6.059300000000000352e+00 5.844099414260170888e+05
6.101300000000000168e+00 6.185559897631399799e+05
6.143399999999999750e+00 6.532344470711570466e+05
6.185500000000000220e+00 6.889144040844532428e+05
6.227599999999999802e+00 7.267509804788769688e+05
6.269599999999999618e+00 7.670212713810933055e+05
6.311700000000000088e+00 8.093627950950507075e+05
6.353799999999999670e+00 8.520968936737822369e+05
6.395900000000000141e+00 8.918856008050488308e+05
6.437999999999999723e+00 9.253464085862998618e+05
6.480000000000000426e+00 9.514645292081690859e+05
6.522100000000000009e+00 9.728932053922164487e+05
6.564199999999999591e+00 9.908382371701669181e+05
6.606300000000000061e+00 1.000716621555885882e+06
6.648299999999999876e+00 1.002254149740724359e+06
6.690400000000000347e+00 9.999182601293723565e+05
6.732499999999999929e+00 9.975079671087757451e+05
6.774600000000000399e+00 9.961502472364308778e+05
6.816699999999999982e+00 9.958527708006056491e+05
6.858699999999999797e+00 9.972897654452836141e+05
6.900800000000000267e+00 1.001219880088357255e+06
6.942899999999999849e+00 1.003766814979108749e+06
6.985000000000000320e+00 9.994659583670962602e+05
7.027099999999999902e+00 9.885646925378852757e+05
7.069099999999999717e+00 9.747070651838426711e+05
7.111200000000000188e+00 9.626999121472237166e+05
7.153299999999999770e+00 9.565090102485126117e+05
7.195400000000000240e+00 9.560611771210167790e+05
7.237400000000000055e+00 9.579166097009214573e+05
7.279499999999999638e+00 9.586660079303490929e+05
7.321600000000000108e+00 9.567331014649443096e+05
7.363699999999999690e+00 9.523905834268959006e+05
7.405800000000000161e+00 9.472056170197892934e+05
7.447799999999999976e+00 9.422972899441140471e+05
7.489899999999999558e+00 9.389031508873747662e+05
7.532000000000000028e+00 9.392439956093638903e+05
7.574099999999999611e+00 9.433648651112043299e+05
7.616100000000000314e+00 9.489841843440433731e+05
7.658199999999999896e+00 9.524145287548765773e+05
7.700300000000000367e+00 9.527895403685133206e+05
7.742399999999999949e+00 9.535825787349196617e+05
7.784500000000000419e+00 9.571117300659022294e+05
7.826500000000000234e+00 9.614643192343483679e+05
7.868599999999999817e+00 9.633920214583745692e+05
7.910700000000000287e+00 9.622314012518583331e+05
7.952799999999999869e+00 9.592130945274129044e+05
7.994799999999999685e+00 9.547039424441317096e+05
8.036899999999999267e+00 9.480076495887892088e+05
8.079000000000000625e+00 9.387523418274924625e+05
8.121100000000000207e+00 9.274927587583996356e+05
8.163199999999999790e+00 9.158959099236085312e+05
8.205199999999999605e+00 9.048138550362526439e+05
8.247299999999999187e+00 8.941241840201815357e+05
8.289400000000000546e+00 8.849594717804590473e+05
8.331500000000000128e+00 8.784345998245375231e+05
8.373599999999999710e+00 8.745987661205618642e+05
8.415599999999999525e+00 8.741850005187699571e+05
8.457700000000000884e+00 8.775058721321809571e+05
8.499800000000000466e+00 8.835727570424651494e+05
8.541900000000000048e+00 8.904770020335521549e+05
8.583899999999999864e+00 8.971930938516637543e+05
8.625999999999999446e+00 9.041459842556109652e+05
8.668100000000000804e+00 9.111689632515066769e+05
8.710200000000000387e+00 9.178654729904832784e+05
8.752299999999999969e+00 9.240559849780484801e+05
8.794299999999999784e+00 9.291086272673902567e+05
8.836399999999999366e+00 9.334851943695064401e+05
8.878500000000000725e+00 9.383515072705351049e+05
8.920600000000000307e+00 9.432784994000794832e+05
8.962600000000000122e+00 9.467616012638305547e+05
9.004699999999999704e+00 9.490824019823016133e+05
9.046799999999999287e+00 9.523644494212943828e+05
9.088900000000000645e+00 9.581893393138551619e+05
9.131000000000000227e+00 9.661348517843586160e+05
9.173000000000000043e+00 9.736710946427774616e+05
9.215099999999999625e+00 9.787138428187506506e+05
9.257199999999999207e+00 9.816775540237284731e+05
9.299300000000000566e+00 9.849222242839365499e+05
9.341300000000000381e+00 9.895939246043711901e+05
9.383399999999999963e+00 9.948870220329655567e+05
9.425499999999999545e+00 9.999613805716001661e+05
9.467599999999999127e+00 1.005656619688844890e+06
9.509700000000000486e+00 1.011547527760753175e+06
9.551700000000000301e+00 1.015784996657355456e+06
9.593799999999999883e+00 1.018161656413314049e+06
9.635899999999999466e+00 1.020035787976538879e+06
9.678000000000000824e+00 1.022322204712448525e+06
9.720100000000000406e+00 1.024498101069700439e+06
9.762100000000000222e+00 1.025974095947520924e+06
9.804199999999999804e+00 1.027333343533945968e+06
9.846299999999999386e+00 1.028397493889741949e+06
9.888400000000000745e+00 1.028744373582283384e+06
9.930400000000000560e+00 1.029045716779171838e+06
9.972500000000000142e+00 1.030330115742394119e+06
1.001459999999999972e+01 1.032209027210316272e+06
1.005669999999999931e+01 1.033572843190518441e+06
1.009880000000000067e+01 1.034531651064817444e+06
1.014080000000000048e+01 1.035513966239356319e+06
1.018290000000000006e+01 1.036060121204257244e+06
1.022499999999999964e+01 1.035811403602267150e+06
1.026709999999999923e+01 1.035640642696724623e+06
1.030910000000000082e+01 1.035874077271006419e+06
1.035120000000000040e+01 1.036317794370281277e+06
1.039329999999999998e+01 1.036660604132227250e+06
1.043539999999999957e+01 1.036890677320673014e+06
1.047749999999999915e+01 1.036900494198852684e+06
1.051950000000000074e+01 1.036417438613948412e+06
1.056160000000000032e+01 1.035508902955618687e+06
1.060369999999999990e+01 1.034259556233105250e+06
1.064579999999999949e+01 1.032679735444948426e+06
1.068779999999999930e+01 1.030120791818622849e+06
1.072990000000000066e+01 1.025919050135322614e+06
1.077200000000000024e+01 1.020805762207407621e+06
1.081409999999999982e+01 1.015149821211385308e+06
1.085619999999999941e+01 1.008626781825081329e+06
1.089819999999999922e+01 1.001659373467610450e+06
1.094030000000000058e+01 9.945459039744966431e+05
1.098240000000000016e+01 9.873317946183307795e+05
1.102449999999999974e+01 9.804613079828887712e+05
1.106659999999999933e+01 9.745334871059823781e+05
1.110859999999999914e+01 9.694126014010591898e+05
1.115070000000000050e+01 9.635773137618080946e+05
1.119280000000000008e+01 9.567825034840835724e+05
1.123489999999999966e+01 9.507153157849735580e+05
1.127689999999999948e+01 9.456185718749567168e+05
1.131900000000000084e+01 9.410477390703142155e+05
1.136110000000000042e+01 9.369202703943025554e+05
1.140320000000000000e+01 9.320658217156829778e+05
1.144529999999999959e+01 9.258038184522235533e+05
1.148729999999999940e+01 9.194525093294945545e+05
1.152940000000000076e+01 9.135570692022499861e+05
1.157150000000000034e+01 9.069128859920860268e+05
1.161359999999999992e+01 8.994877690835687099e+05
1.165559999999999974e+01 8.924685905162061099e+05
1.169769999999999932e+01 8.863866477173396852e+05
1.173980000000000068e+01 8.808857199816688662e+05
1.178190000000000026e+01 8.752291836500538047e+05
1.182399999999999984e+01 8.683920495459798258e+05
1.186599999999999966e+01 8.605846980907316320e+05
1.190809999999999924e+01 8.535315002876491053e+05
1.195020000000000060e+01 8.481200058274541516e+05
1.199230000000000018e+01 8.436648559588912176e+05
1.203430000000000000e+01 8.387742317808218068e+05
1.207639999999999958e+01 8.329500607356913388e+05
1.211849999999999916e+01 8.269207682563498383e+05
1.216060000000000052e+01 8.205045127044684486e+05
1.220270000000000010e+01 8.137114689382137731e+05
1.224469999999999992e+01 8.076097215251143789e+05
1.228679999999999950e+01 8.037343268833291950e+05
1.232890000000000086e+01 8.022874172497953987e+05
1.237100000000000044e+01 8.029955214080208680e+05
1.241310000000000002e+01 8.051940564553906443e+05
1.245509999999999984e+01 8.081224979495236184e+05
1.249719999999999942e+01 8.113747731825704686e+05
1.253930000000000078e+01 8.158923556357315974e+05
1.258140000000000036e+01 8.213632148648119764e+05
1.262340000000000018e+01 8.251116552615965484e+05
1.266549999999999976e+01 8.264211900476847077e+05
1.270759999999999934e+01 8.271291166956685483e+05
1.274970000000000070e+01 8.284621233655572869e+05
1.279180000000000028e+01 8.305324183011614950e+05
1.283380000000000010e+01 8.325962334372911137e+05
1.287589999999999968e+01 8.325333468832536601e+05
1.291799999999999926e+01 8.292220460699539399e+05
1.296010000000000062e+01 8.242551048654045444e+05
1.300210000000000043e+01 8.190332520762552740e+05
1.304420000000000002e+01 8.134546503941055853e+05
1.308629999999999960e+01 8.078607874495299766e+05
1.312839999999999918e+01 8.030731248560931999e+05
1.317050000000000054e+01 7.989199134804843925e+05
1.321250000000000036e+01 7.951777246920367470e+05
1.325459999999999994e+01 7.921347224884006428e+05
1.329669999999999952e+01 7.897354868408392649e+05
1.333880000000000088e+01 7.880876690286856610e+05
1.338090000000000046e+01 7.868860223791116150e+05
1.342290000000000028e+01 7.850384570774304448e+05
1.346499999999999986e+01 7.822666292464714497e+05
1.350709999999999944e+01 7.793087864615540020e+05
1.354920000000000080e+01 7.768885293553143274e+05
1.359120000000000061e+01 7.751542000769092701e+05
