# energy(eV) alpha
0.000000000000000000e+00 0.000000000000000000e+00
3.710000000000000103e-02 4.418450866908997243e-01
7.409999999999999920e-02 1.697055636853189720e+00
1.111999999999999933e-01 3.870818683172065455e+00
1.482999999999999874e-01 6.927708158598265165e+00
1.852999999999999925e-01 1.103113526063230410e+01
2.223999999999999866e-01 1.568200614770528745e+01
2.595000000000000084e-01 2.138405387787353362e+01
2.964999999999999858e-01 2.768616075833490342e+01
3.336000000000000076e-01 3.511353825089923220e+01
3.706999999999999740e-01 4.341978301380304828e+01
4.077000000000000068e-01 5.296365577197663299e+01
4.447999999999999732e-01 6.305662823467730504e+01
4.818000000000000060e-01 7.356785939267109597e+01
5.189000000000000279e-01 8.632253956114543314e+01
5.560000000000000497e-01 9.906727773057563979e+01
5.929999999999999716e-01 1.132048709842013494e+02
6.300999999999999934e-01 1.282942209193513179e+02
6.672000000000000153e-01 1.430998131861799436e+02
7.042000000000000481e-01 1.606057469041604406e+02
7.412999999999999590e-01 1.777764827216327319e+02
7.783999999999999808e-01 1.972237571715301669e+02
8.154000000000000137e-01 2.176350115993609222e+02
8.525000000000000355e-01 2.382811234627282886e+02
8.895999999999999464e-01 2.606523268925293451e+02
9.265999999999999792e-01 2.839729862412602870e+02
9.637000000000000011e-01 3.091755110232920174e+02
1.000799999999999912e+00 3.335963254756726428e+02
1.037800000000000056e+00 3.607693351734696421e+02
1.074899999999999967e+00 3.890088230640316738e+02
1.112000000000000099e+00 4.182677184849557079e+02
1.149000000000000021e+00 4.495524223402219377e+02
1.186099999999999932e+00 4.808802431231860055e+02
1.223200000000000065e+00 5.143244431692302214e+02
1.260199999999999987e+00 5.487928524135070347e+02
1.297299999999999898e+00 5.855416847986964513e+02
1.334400000000000031e+00 6.234115578213977642e+02
1.371399999999999952e+00 6.623475374918619991e+02
1.408500000000000085e+00 7.024378302153812683e+02
1.445500000000000007e+00 7.448807599552770853e+02
1.482599999999999918e+00 7.898596725726982868e+02
1.519700000000000051e+00 8.346883503196247602e+02
1.556699999999999973e+00 8.833934751830792038e+02
1.593800000000000106e+00 9.319825548064120539e+02
1.630900000000000016e+00 9.846681969472297169e+02
1.667899999999999938e+00 1.038600732622240002e+03
1.705000000000000071e+00 1.093878713436099133e+03
1.742099999999999982e+00 1.151993741864123194e+03
1.779099999999999904e+00 1.211360530705261453e+03
1.816200000000000037e+00 1.275340859112802718e+03
1.853299999999999947e+00 1.340732900079557339e+03
1.890300000000000091e+00 1.407466475121788790e+03
1.927400000000000002e+00 1.475675673510174420e+03
1.964499999999999913e+00 1.550455669817236185e+03
2.001500000000000057e+00 1.626709884654659390e+03
2.038600000000000190e+00 1.706349097416372160e+03
2.075699999999999878e+00 1.787538890261276947e+03
2.112699999999999800e+00 1.875762314078657937e+03
2.149799999999999933e+00 1.963867684849745729e+03
2.186900000000000066e+00 2.057418291322094319e+03
2.223899999999999988e+00 2.152575565615878531e+03
2.261000000000000121e+00 2.255401825838390778e+03
2.298000000000000043e+00 2.361952280504563987e+03
2.335100000000000176e+00 2.470439109771486073e+03
2.372199999999999864e+00 2.588947646135694413e+03
2.409199999999999786e+00 2.709344463050820195e+03
2.446299999999999919e+00 2.833906157013099801e+03
2.483400000000000052e+00 2.968974485895373618e+03
2.520399999999999974e+00 3.106076030621877180e+03
2.557500000000000107e+00 3.251938215667016266e+03
2.594599999999999795e+00 3.404430794075925405e+03
2.631600000000000161e+00 3.565760266284081808e+03
2.668699999999999850e+00 3.736329673399817239e+03
2.705799999999999983e+00 3.916229649448920554e+03
2.742799999999999905e+00 4.105397281247843239e+03
2.779900000000000038e+00 4.304300876532738585e+03
2.817000000000000171e+00 4.520024428444983641e+03
2.854000000000000092e+00 4.745534731285855742e+03
2.891099999999999781e+00 4.986102506566019656e+03
2.928199999999999914e+00 5.241781691746674369e+03
2.965199999999999836e+00 5.517511859648369864e+03
3.002299999999999969e+00 5.813943737591879653e+03
3.039400000000000102e+00 6.133687348028759516e+03
3.076400000000000023e+00 6.479378600242895118e+03
3.113500000000000156e+00 6.859349356502489172e+03
3.150599999999999845e+00 7.278964185321405239e+03
3.187600000000000211e+00 7.741079838829698019e+03
3.224699999999999900e+00 8.262233478608286532e+03
3.261699999999999822e+00 8.853036939092220564e+03
3.298799999999999955e+00 9.543786344096966786e+03
