# energy(eV) alpha
0.000000000000000000e+00 0.000000000000000000e+00
3.160000000000000309e-02 7.705019970669365614e-01
6.329999999999999516e-02 3.241041170475958300e+00
9.489999999999999825e-02 7.249239641958858726e+00
1.265000000000000013e-01 1.284814076327215382e+01
1.582000000000000073e-01 2.017780177862318425e+01
1.897999999999999965e-01 2.898208902281853483e+01
2.215000000000000024e-01 3.956989764902842666e+01
2.530999999999999917e-01 5.198252803411077849e+01
2.847000000000000086e-01 6.584684345055394772e+01
3.164000000000000146e-01 8.136538181245143164e+01
3.479999999999999760e-01 9.876754823665805816e+01
3.795999999999999930e-01 1.184573756382675782e+02
4.112999999999999989e-01 1.392831375882302325e+02
4.429000000000000159e-01 1.620981071299568725e+02
4.746000000000000218e-01 1.874290657775199236e+02
5.061999999999999833e-01 2.141160039092011118e+02
5.377999999999999448e-01 2.429830069772519607e+02
5.695000000000000062e-01 2.741459142371161875e+02
6.010999999999999677e-01 3.070939792763875857e+02
6.327000000000000401e-01 3.423741419865830835e+02
6.643999999999999906e-01 3.806466064652024102e+02
6.959999999999999520e-01 4.208169794933901926e+02
7.276000000000000245e-01 4.635154783236534399e+02
7.592999999999999750e-01 5.082568128688014326e+02
7.909000000000000474e-01 5.561732638656079644e+02
8.225999999999999979e-01 6.068763964524065386e+02
8.541999999999999593e-01 6.602749177061203909e+02
8.858000000000000318e-01 7.179218833852302168e+02
9.174999999999999822e-01 7.779013825065939045e+02
9.491000000000000547e-01 8.422958275706844233e+02
9.807000000000000162e-01 9.090492716957796802e+02
1.012399999999999967e+00 9.806419271471230559e+02
1.044000000000000039e+00 1.055425485638732880e+03
1.075700000000000101e+00 1.136199054405793049e+03
1.107299999999999951e+00 1.219505653622264390e+03
1.138900000000000023e+00 1.309007671704535596e+03
1.170600000000000085e+00 1.404165690808089039e+03
1.202199999999999935e+00 1.503954099222600917e+03
1.233800000000000008e+00 1.608589432451457242e+03
1.265500000000000069e+00 1.721287635830234194e+03
1.297099999999999920e+00 1.842070559379770202e+03
1.328699999999999992e+00 1.970307998630324619e+03
1.360400000000000054e+00 2.105317045302831048e+03
