# energy(eV) alpha
0.000000000000000000e+00 0.000000000000000000e+00
3.760000000000000148e-02 1.338036745493411450e+00
7.520000000000000295e-02 5.227197319014965871e+00
1.127999999999999975e-01 1.185268726457158373e+01
1.504000000000000059e-01 2.114966536260298113e+01
1.880000000000000004e-01 3.326991116372016677e+01
2.257000000000000117e-01 4.795037816641215045e+01
2.632999999999999785e-01 6.570597572835518463e+01
3.009000000000000008e-01 8.623576696827244348e+01
3.385000000000000231e-01 1.098120384334307147e+02
3.760999999999999899e-01 1.362056937251552995e+02
4.137000000000000122e-01 1.660899307016933051e+02
4.512999999999999790e-01 1.992644221582137050e+02
4.889000000000000012e-01 2.358056579828746351e+02
5.264999999999999680e-01 2.766585803947951376e+02
5.641000000000000458e-01 3.202239794659110430e+02
6.017000000000000126e-01 3.688601460945731105e+02
6.393999999999999684e-01 4.214001244288675139e+02
6.770000000000000462e-01 4.783370131667971350e+02
7.146000000000000130e-01 5.410544910057960806e+02
7.521999999999999797e-01 6.080377820411125640e+02
7.897999999999999465e-01 6.812727736035944872e+02
8.274000000000000243e-01 7.603939908654280089e+02
8.649999999999999911e-01 8.470393438196979332e+02
9.025999999999999579e-01 9.401221680365939619e+02
9.402000000000000357e-01 1.042134892204161133e+03
9.778000000000000025e-01 1.152741404720736909e+03
1.015500000000000069e+00 1.273231105187541061e+03
1.053099999999999925e+00 1.405496075371090456e+03
1.090700000000000003e+00 1.550231047543456270e+03
1.128300000000000081e+00 1.708875659938711124e+03
1.165899999999999936e+00 1.883901377375697166e+03
1.203500000000000014e+00 2.077020017786105200e+03
1.241100000000000092e+00 2.294911300291480529e+03
1.278699999999999948e+00 2.536753318636417589e+03
1.316300000000000026e+00 2.810786641175701334e+03
1.353900000000000103e+00 3.122691250982074052e+03
1.391499999999999959e+00 3.482788213458590235e+03
1.429200000000000026e+00 3.901188100190790919e+03
1.466800000000000104e+00 4.399003130940878691e+03
1.504399999999999959e+00 5.000615003502661239e+03
1.542000000000000037e+00 5.745483960408096209e+03
1.579599999999999893e+00 6.700451786475500739e+03
1.617199999999999971e+00 7.961740391355995598e+03
1.654800000000000049e+00 9.692501829776787417e+03
1.692399999999999904e+00 1.209650303533652550e+04
1.729999999999999982e+00 1.521531014279206647e+04
1.767600000000000060e+00 1.848273001157042381e+04
1.805199999999999916e+00 2.134987052432947530e+04
1.842899999999999983e+00 2.448727727004154440e+04
1.880500000000000060e+00 2.849467542124868487e+04
1.918099999999999916e+00 3.366064565994549775e+04
1.955699999999999994e+00 4.023512800158905156e+04
1.993300000000000072e+00 4.651267974196587602e+04
2.030899999999999928e+00 4.988209245772325085e+04
2.068499999999999783e+00 5.125370990918520693e+04
2.106100000000000083e+00 5.234479220701677696e+04
2.143699999999999939e+00 5.526819217369899707e+04
2.181299999999999795e+00 6.093700544682506734e+04
2.218900000000000095e+00 6.663530023876199266e+04
2.256600000000000161e+00 6.936096088974751183e+04
2.294200000000000017e+00 7.144712696997720923e+04
2.331799999999999873e+00 7.657576293045055354e+04
2.369400000000000173e+00 8.464879793834015436e+04
2.407000000000000028e+00 9.242818319514243922e+04
2.444599999999999884e+00 9.636410877216281369e+04
2.482200000000000184e+00 9.826030118400338688e+04
2.519800000000000040e+00 1.019850407055090182e+05
2.557399999999999896e+00 1.088072010004741023e+05
2.595000000000000195e+00 1.181115026597631950e+05
2.632600000000000051e+00 1.298404550124443485e+05
2.670300000000000118e+00 1.418116772297875432e+05
2.707899999999999974e+00 1.512043229873698147e+05
2.745499999999999829e+00 1.599559410826900566e+05
2.783100000000000129e+00 1.702746491749302659e+05
2.820699999999999985e+00 1.817649008633557532e+05
2.858299999999999841e+00 1.927356926389012660e+05
2.895900000000000141e+00 2.024410773140967940e+05
2.933499999999999996e+00 2.094384486054507142e+05
2.971099999999999852e+00 2.095664062732685707e+05
3.008700000000000152e+00 2.031041031584354641e+05
3.046400000000000219e+00 1.957402380863453436e+05
3.084000000000000075e+00 1.919639888879108767e+05
3.121599999999999930e+00 1.941055943388404557e+05
3.159199999999999786e+00 2.019609390053471143e+05
3.196800000000000086e+00 2.142386641177955898e+05
3.234399999999999942e+00 2.323718911170869251e+05
3.271999999999999797e+00 2.550427153501948633e+05
3.309600000000000097e+00 2.751689505609047483e+05
3.347199999999999953e+00 2.867815963266699109e+05
3.384799999999999809e+00 2.878106377562805428e+05
3.422400000000000109e+00 2.808151279740473256e+05
3.460100000000000176e+00 2.690578397714613820e+05
3.497700000000000031e+00 2.579778996678636177e+05
3.535299999999999887e+00 2.554531424585286295e+05
3.572900000000000187e+00 2.636881908077982953e+05
3.610500000000000043e+00 2.779732091366000823e+05
3.648099999999999898e+00 2.937530661297491170e+05
3.685700000000000198e+00 3.090533252647732152e+05
3.723300000000000054e+00 3.191114358786517987e+05
3.760899999999999910e+00 3.195899200093439431e+05
3.798500000000000210e+00 3.140226010689740651e+05
3.836100000000000065e+00 3.049841683058911003e+05
3.873800000000000132e+00 2.916167435666013043e+05
3.911399999999999988e+00 2.769337222348429495e+05
3.948999999999999844e+00 2.670595768958775443e+05
3.986600000000000144e+00 2.656628548949380638e+05
4.024200000000000443e+00 2.700368764411566663e+05
4.061799999999999855e+00 2.746627379040810629e+05
4.099400000000000155e+00 2.792555268888185965e+05
4.136999999999999567e+00 2.838075110937603749e+05
4.174599999999999866e+00 2.857920246649382752e+05
4.212200000000000166e+00 2.856817362826935714e+05
4.249799999999999578e+00 2.867451664661195246e+05
4.287499999999999645e+00 2.905470127938891528e+05
4.325099999999999945e+00 2.946007480564429425e+05
4.362700000000000244e+00 2.951935968025506008e+05
4.400299999999999656e+00 2.903859023129140842e+05
4.437899999999999956e+00 2.828752675827935454e+05
4.475500000000000256e+00 2.742791913243686431e+05
4.513099999999999667e+00 2.650547471854192554e+05
4.550699999999999967e+00 2.573463903807034367e+05
4.588300000000000267e+00 2.525467454932665860e+05
4.625899999999999679e+00 2.519670564602373925e+05
4.663499999999999979e+00 2.542423929853999580e+05
4.701200000000000045e+00 2.563491906375390827e+05
4.738800000000000345e+00 2.588952566040449310e+05
4.776399999999999757e+00 2.638550949881548295e+05
4.814000000000000057e+00 2.710570450873342925e+05
4.851600000000000357e+00 2.780103910633687046e+05
