# energy(eV) alpha
0.000000000000000000e+00 0.000000000000000000e+00
4.309999999999999942e-02 7.279832385928575178e-01
8.609999999999999598e-02 2.831843974422991739e+00
1.292000000000000093e-01 6.430946472012900372e+00
1.721999999999999920e-01 1.163094431787019900e+01
2.152999999999999914e-01 1.817455323949880608e+01
2.582999999999999741e-01 2.638932173790049873e+01
3.014000000000000012e-01 3.533581082238187321e+01
3.443999999999999839e-01 4.648175964723930775e+01
3.875000000000000111e-01 5.916106843367158774e+01
4.304999999999999938e-01 7.296028360627016696e+01
4.736000000000000210e-01 8.905408067563122643e+01
5.165999999999999481e-01 1.067153901310267656e+02
5.596999999999999753e-01 1.254831062946462197e+02
6.027000000000000135e-01 1.451952889404219036e+02
6.458000000000000407e-01 1.680688041547996932e+02
6.887999999999999678e-01 1.925580494641366727e+02
7.318999999999999950e-01 2.174175853704469148e+02
7.749000000000000332e-01 2.457799666119043138e+02
8.179999999999999494e-01 2.751502990187184423e+02
8.609999999999999876e-01 3.076195631214484933e+02
9.041000000000000147e-01 3.410867363802975092e+02
9.471000000000000529e-01 3.770236246867942782e+02
9.901999999999999691e-01 4.138658091964700247e+02
1.033199999999999896e+00 4.541332610711831990e+02
1.076300000000000034e+00 4.981291104427814389e+02
1.119399999999999951e+00 5.420868022854600667e+02
1.162400000000000100e+00 5.897997806041901185e+02
1.205500000000000016e+00 6.405189404878516370e+02
1.248499999999999943e+00 6.942298227139981464e+02
1.291600000000000081e+00 7.488784651922160265e+02
1.334600000000000009e+00 8.088853162976616886e+02
1.377699999999999925e+00 8.710729937009031119e+02
1.420700000000000074e+00 9.377657719569265282e+02
1.463799999999999990e+00 1.005477262937562386e+03
1.506799999999999917e+00 1.079157443943141743e+03
1.549900000000000055e+00 1.157908233255718869e+03
1.592899999999999983e+00 1.239005008644942336e+03
1.635999999999999899e+00 1.325389551493359249e+03
1.679000000000000048e+00 1.415640863282869987e+03
1.722099999999999964e+00 1.511457619785849829e+03
1.765099999999999891e+00 1.614365100952977400e+03
1.808200000000000029e+00 1.721686205154790741e+03
1.851199999999999957e+00 1.834889242057173988e+03
1.894300000000000095e+00 1.955924927240676880e+03
1.937300000000000022e+00 2.083183883611934107e+03
1.980399999999999938e+00 2.220354853688269031e+03
2.023400000000000087e+00 2.364140915489675990e+03
2.066500000000000004e+00 2.518351340029995299e+03
2.109599999999999920e+00 2.681407736350530286e+03
2.152600000000000069e+00 2.856965716983625498e+03
2.195699999999999985e+00 3.041986146184508016e+03
2.238700000000000134e+00 3.241950183296575688e+03
