# energy(eV) alpha
0.000000000000000000e+00 0.000000000000000000e+00
1.098999999999999977e-01 6.439936392339055793e+00
2.197999999999999954e-01 2.593395607575236994e+01
3.297999999999999821e-01 5.874181029174918223e+01
4.396999999999999797e-01 1.054216576387906485e+02
5.495999999999999774e-01 1.659829951590027690e+02
6.594999999999999751e-01 2.433650711046615527e+02
7.693999999999999728e-01 3.377582048356647988e+02
8.793999999999999595e-01 4.493593706668636969e+02
9.892999999999999572e-01 5.844371483140199643e+02
1.099199999999999955e+00 7.407994081483828950e+02
1.209100000000000064e+00 9.274221017561725375e+02
1.318999999999999950e+00 1.143911387455844533e+03
1.429000000000000048e+00 1.401713203483169536e+03
1.538899999999999935e+00 1.704375505675574004e+03
1.648800000000000043e+00 2.066103333343464328e+03
1.758699999999999930e+00 2.503099560351403852e+03
1.868600000000000039e+00 3.034860505636014750e+03
1.978599999999999914e+00 3.699996202166701096e+03
2.088499999999999801e+00 4.550476082683551795e+03
2.198399999999999910e+00 5.694077618269194318e+03
2.308300000000000018e+00 7.326637819233219489e+03
2.418200000000000127e+00 9.970446392416946765e+03
2.528200000000000003e+00 1.530777493028112985e+04
2.638100000000000112e+00 2.626869647121935122e+04
2.748000000000000220e+00 3.813474714705791848e+04
2.857899999999999885e+00 5.826710829452586768e+04
2.967799999999999994e+00 7.610811033137848426e+04
3.077799999999999869e+00 9.803531746681877121e+04
3.187699999999999978e+00 1.244948683189972508e+05
3.297600000000000087e+00 1.643823445001376385e+05
3.407500000000000195e+00 1.806907705315506028e+05
3.517500000000000071e+00 1.894208944246846659e+05
3.627400000000000180e+00 2.611672910452819779e+05
3.737299999999999844e+00 2.854563887603128678e+05
3.847199999999999953e+00 2.969665803078886820e+05
3.957100000000000062e+00 2.738006247226078995e+05
4.067099999999999937e+00 3.010533681990394834e+05
4.176999999999999602e+00 3.233875012037777924e+05
4.286900000000000155e+00 3.605676687973571825e+05
4.396799999999999820e+00 3.783277651600804529e+05
4.506700000000000372e+00 3.897143326102179126e+05
4.616699999999999804e+00 4.424191674066718551e+05
4.726600000000000357e+00 4.815407417105606874e+05
4.836500000000000021e+00 5.074675005387850688e+05
4.946399999999999686e+00 5.267056753898707684e+05
5.056300000000000239e+00 5.684216810868966859e+05
5.166299999999999670e+00 6.217939351155307377e+05
5.276200000000000223e+00 6.435545626967616845e+05
5.386099999999999888e+00 6.341166516007705359e+05
5.496000000000000441e+00 6.189089853977422463e+05
5.605900000000000105e+00 5.828908163624245208e+05
5.715900000000000425e+00 5.765990717015722767e+05
5.825800000000000090e+00 5.822167941534343408e+05
5.935699999999999754e+00 5.927618481994537869e+05
6.045600000000000307e+00 5.810783850986694451e+05
6.155499999999999972e+00 5.549400304128123680e+05
6.265500000000000291e+00 5.072270338859747280e+05
6.375399999999999956e+00 4.564621846815683530e+05
6.485299999999999621e+00 4.033061325553729548e+05
6.595200000000000173e+00 3.635279232035021414e+05
6.705099999999999838e+00 3.229938886852557189e+05
6.815100000000000158e+00 2.870371336885982892e+05
6.924999999999999822e+00 2.681212032381254830e+05
7.034900000000000375e+00 2.563565793826157751e+05
7.144800000000000040e+00 2.537149176540941990e+05
7.254699999999999704e+00 2.513333782438894559e+05
7.364700000000000024e+00 2.512882865268128517e+05
7.474599999999999689e+00 2.846446464581140317e+05
7.584500000000000242e+00 3.134088278137993766e+05
7.694399999999999906e+00 3.283091068247568328e+05
7.804299999999999571e+00 3.368333626224618638e+05
7.914299999999999891e+00 3.498547611070460989e+05
8.024200000000000443e+00 3.746072601941584726e+05
8.134100000000000108e+00 4.057906180956706521e+05
8.243999999999999773e+00 4.544747399456152343e+05
8.353899999999999437e+00 4.924604448096379638e+05
8.463900000000000645e+00 5.344971121041037841e+05
8.573800000000000310e+00 5.878249250429919921e+05
8.683699999999999974e+00 6.489493428093699040e+05
8.793599999999999639e+00 7.372061946768417256e+05
8.903499999999999304e+00 7.658928526944323676e+05
9.013500000000000512e+00 7.407239962566399481e+05
9.123400000000000176e+00 7.251990542929345975e+05
9.233299999999999841e+00 7.330106169112630887e+05
9.343199999999999505e+00 7.645378211847640341e+05
9.453099999999999170e+00 8.242873969417010667e+05
9.563100000000000378e+00 8.335402957450239919e+05
9.673000000000000043e+00 8.433547998907500878e+05
9.782899999999999707e+00 8.426804818213598337e+05
9.892799999999999372e+00 8.358943258126827423e+05
1.000270000000000081e+01 8.369506909290943295e+05
1.011270000000000024e+01 8.646622951039248146e+05
1.022259999999999991e+01 8.995076680035939207e+05
1.033249999999999957e+01 9.621972053675067145e+05
1.044239999999999924e+01 1.025877245644621202e+06
1.055240000000000045e+01 1.045580553812510450e+06
1.066230000000000011e+01 1.063088229374632705e+06
1.077219999999999978e+01 1.110837437091952423e+06
1.088209999999999944e+01 1.134653823647615500e+06
1.099200000000000088e+01 1.145800588329995982e+06
1.110200000000000031e+01 1.151159677537454059e+06
1.121189999999999998e+01 1.114353454256177414e+06
1.132179999999999964e+01 1.089958305481731892e+06
1.143169999999999931e+01 1.096507586272131884e+06
1.154160000000000075e+01 1.099199633687161608e+06
1.165160000000000018e+01 1.130379915176989278e+06
1.176149999999999984e+01 1.169503841371293878e+06
1.187139999999999951e+01 1.205607945387061452e+06
1.198129999999999917e+01 1.228128462292132201e+06
1.209120000000000061e+01 1.244254628446272807e+06
1.220120000000000005e+01 1.250088228484576801e+06
1.231109999999999971e+01 1.240465533058872679e+06
1.242099999999999937e+01 1.231529152810012456e+06
1.253090000000000082e+01 1.223243995916057611e+06
1.264080000000000048e+01 1.154064070204644930e+06
1.275079999999999991e+01 1.094466775566062890e+06
1.286069999999999958e+01 1.073218908064471092e+06
1.297059999999999924e+01 1.046102295275828918e+06
1.308050000000000068e+01 1.018944617401348427e+06
1.319040000000000035e+01 9.998044123909835471e+05
1.330039999999999978e+01 1.006163253402127535e+06
1.341029999999999944e+01 1.034445922472841106e+06
1.352020000000000088e+01 1.049413135764402570e+06
1.363010000000000055e+01 1.072029240664717276e+06
1.374000000000000021e+01 1.079805495492732385e+06
1.384999999999999964e+01 1.079934801555481507e+06
1.395989999999999931e+01 1.048967567779708188e+06
1.406980000000000075e+01 1.021398337815659470e+06
1.417970000000000041e+01 1.005183926162353135e+06
1.428960000000000008e+01 1.009352837858846295e+06
1.439959999999999951e+01 9.885251660555201815e+05
1.450949999999999918e+01 9.384412595454894472e+05
1.461940000000000062e+01 8.977822077659285860e+05
1.472930000000000028e+01 8.698872245685119415e+05
1.483919999999999995e+01 8.690508103608157253e+05
1.494919999999999938e+01 9.112123012963802321e+05
1.505910000000000082e+01 1.052793249897399917e+06
1.516900000000000048e+01 1.199166587431134656e+06
1.527890000000000015e+01 1.200528443110372638e+06
1.538879999999999981e+01 1.142688113878086908e+06
1.549879999999999924e+01 1.095590422407462727e+06
1.560870000000000068e+01 1.073251759721409064e+06
1.571860000000000035e+01 1.081790943103537196e+06
1.582850000000000001e+01 1.120962517736191396e+06
1.593839999999999968e+01 1.128418003725452349e+06
1.604840000000000089e+01 1.122173700589659158e+06
1.615830000000000055e+01 1.120997335017391713e+06
1.626820000000000022e+01 1.115644676370909205e+06
1.637809999999999988e+01 1.113106280456320848e+06
1.648799999999999955e+01 1.088006212362210965e+06
1.659799999999999898e+01 1.078795765942860628e+06
1.670789999999999864e+01 1.099912992302166298e+06
1.681779999999999831e+01 1.129485280469975201e+06
1.692770000000000152e+01 1.130016321360355010e+06
1.703770000000000095e+01 1.134164342153799720e+06
1.714760000000000062e+01 1.139110037153638434e+06
1.725750000000000028e+01 1.143911472236936446e+06
1.736739999999999995e+01 1.155924783785854699e+06
1.747729999999999961e+01 1.171391009859514423e+06
1.758729999999999905e+01 1.192537182520119706e+06
1.769719999999999871e+01 1.185526739992831368e+06
1.780709999999999837e+01 1.173920073627219768e+06
1.791700000000000159e+01 1.146133865215674508e+06
1.802690000000000126e+01 1.121713373516414082e+06
1.813690000000000069e+01 1.116290166474710684e+06
1.824680000000000035e+01 1.119744121402766323e+06
1.835670000000000002e+01 1.118816779488057364e+06
1.846659999999999968e+01 1.106508470506523736e+06
1.857649999999999935e+01 1.078451585161388619e+06
1.868649999999999878e+01 1.072496663058728212e+06
1.879639999999999844e+01 1.070500606652553193e+06
1.890630000000000166e+01 1.068074875119023956e+06
1.901620000000000132e+01 1.069782365099254530e+06
1.912610000000000099e+01 1.063430053580882028e+06
1.923610000000000042e+01 1.067968317280395655e+06
1.934600000000000009e+01 1.038238344064370380e+06
1.945589999999999975e+01 1.027305882768638781e+06
1.956579999999999941e+01 1.023269544014420011e+06
1.967569999999999908e+01 1.003199209844217054e+06
1.978569999999999851e+01 9.703179089070613263e+05
1.989560000000000173e+01 9.582984218647353118e+05
2.000550000000000139e+01 9.448901368542494019e+05
2.011540000000000106e+01 9.471261507005814929e+05
2.022530000000000072e+01 9.302014967124267714e+05
2.033530000000000015e+01 9.196243400940754218e+05
2.044519999999999982e+01 9.172564549236802850e+05
2.055509999999999948e+01 8.921372759476655629e+05
2.066499999999999915e+01 8.872929427517120494e+05
2.077489999999999881e+01 8.874717724310108460e+05
2.088489999999999824e+01 8.819525902988170274e+05
2.099480000000000146e+01 8.727609485453056404e+05
2.110470000000000113e+01 8.644874499538965756e+05
2.121460000000000079e+01 8.370995869777514599e+05
2.132450000000000045e+01 8.172115090406874660e+05
2.143449999999999989e+01 8.209658530506989919e+05
2.154439999999999955e+01 8.135730915481559932e+05
2.165429999999999922e+01 7.986099361878056079e+05
2.176419999999999888e+01 7.919487336171917850e+05
2.187409999999999854e+01 7.800755814919474069e+05
2.198410000000000153e+01 7.555235538919545943e+05
2.209400000000000119e+01 7.682466777566063683e+05
2.220390000000000086e+01 7.624163302187800873e+05
2.231380000000000052e+01 7.443121769393059658e+05
2.242370000000000019e+01 7.201212589717513183e+05
2.253369999999999962e+01 6.905074931735880673e+05
2.264359999999999928e+01 6.719721281542301876e+05
2.275349999999999895e+01 6.817917509706178680e+05
2.286339999999999861e+01 6.778256589856557548e+05
2.297329999999999828e+01 6.624827505256268196e+05
2.308330000000000126e+01 6.443002282333280891e+05
2.319320000000000093e+01 6.168649916019011289e+05
2.330310000000000059e+01 6.020865999912410043e+05
2.341300000000000026e+01 5.721155177600559546e+05
2.352289999999999992e+01 5.640501908905492164e+05
2.363289999999999935e+01 5.534856082965233363e+05
2.374279999999999902e+01 5.429551457016536733e+05
2.385269999999999868e+01 5.303630047168773599e+05
2.396259999999999835e+01 5.184261691959915333e+05
2.407260000000000133e+01 5.077379529768198845e+05
2.418250000000000099e+01 4.898531918183357920e+05
2.429240000000000066e+01 4.775805395665506367e+05
2.440230000000000032e+01 4.706528620859360090e+05
2.451219999999999999e+01 4.617816470442872960e+05
2.462219999999999942e+01 4.571702120190635906e+05
2.473209999999999908e+01 4.552179095134569798e+05
2.484199999999999875e+01 4.468771024428487872e+05
2.495189999999999841e+01 4.397747598799315747e+05
2.506180000000000163e+01 4.322933378009536536e+05
2.517180000000000106e+01 4.237159329672129243e+05
2.528170000000000073e+01 4.193362097379576298e+05
2.539160000000000039e+01 4.074891990329819964e+05
2.550150000000000006e+01 4.043518067172670271e+05
2.561139999999999972e+01 4.023104678989957902e+05
2.572139999999999915e+01 3.937087028476273408e+05
2.583129999999999882e+01 3.883341338490477065e+05
2.594119999999999848e+01 3.790963909187810495e+05
2.605110000000000170e+01 3.710191650190650835e+05
2.616100000000000136e+01 3.672914653891671333e+05
2.627100000000000080e+01 3.712854445650601992e+05
2.638090000000000046e+01 3.676779537726351991e+05
2.649080000000000013e+01 3.635048788633659133e+05
2.660069999999999979e+01 3.613959736127939541e+05
2.671059999999999945e+01 3.591510035222666338e+05
2.682059999999999889e+01 3.506159805178725510e+05
2.693049999999999855e+01 3.392334344682625378e+05
2.704040000000000177e+01 3.340431488710198901e+05
2.715030000000000143e+01 3.336239363143326482e+05
2.726020000000000110e+01 3.320194779299307847e+05
2.737020000000000053e+01 3.220090678006798262e+05
2.748010000000000019e+01 3.153805723531640833e+05
2.758999999999999986e+01 3.027057446436075261e+05
2.769989999999999952e+01 2.962368742727197241e+05
2.780979999999999919e+01 2.952161249145942857e+05
2.791979999999999862e+01 2.853283409780024085e+05
2.802969999999999828e+01 2.752656701207201695e+05
2.813960000000000150e+01 2.700810470235758112e+05
2.824950000000000117e+01 2.685566638115698006e+05
2.835940000000000083e+01 2.670831983463120414e+05
2.846940000000000026e+01 2.629127989356447360e+05
2.857929999999999993e+01 2.583916296431878000e+05
2.868919999999999959e+01 2.543244364074175537e+05
2.879909999999999926e+01 2.489334580633630394e+05
2.890899999999999892e+01 2.464487145691411570e+05
2.901899999999999835e+01 2.443820652306352276e+05
2.912890000000000157e+01 2.389863460613798234e+05
2.923880000000000123e+01 2.356429852345372783e+05
2.934870000000000090e+01 2.365874445864888257e+05
2.945860000000000056e+01 2.331310879000584828e+05
2.956859999999999999e+01 2.301174721356111113e+05
2.967849999999999966e+01 2.268109841389307403e+05
2.978839999999999932e+01 2.226622748252253805e+05
2.989829999999999899e+01 2.192997798413434066e+05
3.000819999999999865e+01 2.207365819517976197e+05
3.011820000000000164e+01 2.197833176702604105e+05
3.022810000000000130e+01 2.190446009988888982e+05
3.033800000000000097e+01 2.162746617981810123e+05
3.044790000000000063e+01 2.145967280997764028e+05
3.055790000000000006e+01 2.073481719235573546e+05
3.066779999999999973e+01 2.051739416184151196e+05
3.077769999999999939e+01 2.048054432485564612e+05
3.088759999999999906e+01 2.018445442045812961e+05
3.099749999999999872e+01 2.003638831003090017e+05
3.110750000000000171e+01 1.979308487712877395e+05
3.121740000000000137e+01 1.942884295617149910e+05
3.132730000000000103e+01 1.929425713869403407e+05
3.143720000000000070e+01 1.899797752349327784e+05
3.154710000000000036e+01 1.917535185031188594e+05
3.165709999999999980e+01 1.891477325434556697e+05
3.176699999999999946e+01 1.876256210982663033e+05
3.187689999999999912e+01 1.886208905255285790e+05
3.198679999999999879e+01 1.877129511501243978e+05
3.209669999999999845e+01 1.868782026696897519e+05
3.220669999999999789e+01 1.813632258684004773e+05
3.231660000000000110e+01 1.789167103429646231e+05
3.242649999999999721e+01 1.764226703176259180e+05
